rho,methods,MSEs_value
0,PLS,0.0094617034491985
0,PLS,0.0117299485347339
0,PLS,0.0181816391036208
0,PLS,0.00440329915436448
0,PLS,0.0132550855611566
0,PLS,0.0108415334369901
0,PLS,0.0290986491172827
0,PLS,0.0156671675284264
0,PLS,0.0078574136697022
0,PLS,0.020104838921505
0,PLS,0.0223076126179475
0,PLS,0.0232411148706538
0,PLS,0.00566958875821812
0,PLS,0.0299422416674559
0,PLS,0.00650687715253174
0,PLS,0.0108272878167318
0,PLS,0.0182319398953989
0,PLS,0.0374198078194293
0,PLS,0.0132581826880115
0,PLS,0.00833306980285554
0,PLS,0.0380940441634682
0,PLS,0.0115312464436641
0,PLS,0.00883015032281892
0,PLS,0.0116719356126267
0,PLS,0.00410994411288761
0,PLS,0.00621412190712631
0,PLS,0.0189382877550786
0,PLS,0.021442135877614
0,PLS,0.0209458035347759
0,PLS,0.0106818382956319
0,PLS,0.0474822679504004
0,PLS,0.0144525487512322
0,PLS,0.0149068934103366
0,PLS,0.00902780700920877
0,PLS,0.00728361824949385
0,PLS,0.013142892345117
0,PLS,0.0308527372511874
0,PLS,0.0155916050298758
0,PLS,0.0041336633877567
0,PLS,0.0129025698212173
0,PLS,0.00988322065359513
0,PLS,0.00981567597534414
0,PLS,0.0307587869491118
0,PLS,0.0104940218434897
0,PLS,0.0133356059223518
0,PLS,0.00611623551655031
0,PLS,0.0317988037714479
0,PLS,0.0133150612372784
0,PLS,0.00379579010919768
0,PLS,0.0140018721267903
0,PLS,0.00732283535609782
0,PLS,0.021506166530843
0,PLS,0.0210306196259794
0,PLS,0.00725723344705749
0,PLS,0.0305289320692924
0,PLS,0.0222235948320154
0,PLS,0.00985339657658596
0,PLS,0.00952604752978017
0,PLS,0.0122921363784121
0,PLS,0.0108851509888696
0,PLS,0.0240295051765684
0,PLS,0.00492414881524426
0,PLS,0.0129141901117596
0,PLS,0.0201616688082191
0,PLS,0.0215165227903978
0,PLS,0.0353415295081767
0,PLS,0.0136301841798121
0,PLS,0.00541084210707627
0,PLS,0.010573149116576
0,PLS,0.0256677107056079
0,PLS,0.0302543446047142
0,PLS,0.0199601767738788
0,PLS,0.0158816485751906
0,PLS,0.0271670787249757
0,PLS,0.0217716584981087
0,PLS,0.00803374916057858
0,PLS,0.0109084378458782
0,PLS,0.00531614525574633
0,PLS,0.019276984531365
0,PLS,0.00739614791289613
0,PLS,0.019420533807128
0,PLS,0.0144097317983205
0,PLS,0.0241027673514282
0,PLS,0.0191975872358489
0,PLS,0.0346586725371729
0,PLS,0.00922326982224709
0,PLS,0.0128568311728035
0,PLS,0.0368867441017869
0,PLS,0.0150586175863426
0,PLS,0.012148580206521
0,PLS,0.0201537813939823
0,PLS,0.0228281696012889
0,PLS,0.00713823224351174
0,PLS,0.0275088047996022
0,PLS,0.0171081880502827
0,PLS,0.00318257791034889
0,PLS,0.0147927452364176
0,PLS,0.00556902008181785
0,PLS,0.00232971774060307
0,PLS,0.00552262615252024
0,PLS,0.0147390716593736
0,PLS,0.00810734592849562
0,PLS,0.00840589737325311
0,PLS,0.00545425867652414
0,PLS,0.00800994596097648
0,PLS,0.0318906036805358
0,PLS,0.0380329021040465
0,PLS,0.00411928471548764
0,PLS,0.0124812382360397
0,PLS,0.0316530570305293
0,PLS,0.00586470668178109
0,PLS,0.00337614051529017
0,PLS,0.0147510881362684
0,PLS,0.012125292752883
0,PLS,0.0128649631941654
0,PLS,0.0130469466129673
0,PLS,0.0217344907791489
0,PLS,0.0135065496911144
0,PLS,0.0115170262837854
0,PLS,0.017563064827857
0,PLS,0.0145453654368406
0,PLS,0.0181980725513307
0,PLS,0.0194698004729239
0,PLS,0.0159794894114519
0,PLS,0.0137043098030364
0,PLS,0.0216655527480891
0,PLS,0.0267736913055957
