,rho,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,0.0749008591173723,0.0208781735948668,0.0152028371704525,0.00890088834453534,0.0658835987171887,0.0318945717261581
2,0.1,0.0769808922292269,0.0264959913949405,0.0148522042694522,0.00832002504157446,0.0666465617479861,0.0293740475505659
3,0.2,0.0741465644345407,0.024998590442147,0.0147590786936034,0.00904796511720801,0.0648835193606352,0.0312166783765068
4,0.3,0.074982715883715,0.0219319099352948,0.0124377482905504,0.00720146115880081,0.0613363236052274,0.0358312265608169
5,0.4,0.0660171008297344,0.02162533932485,0.0114752563046639,0.00627895445795808,0.0648901132893097,0.0395059105652826
6,0.5,0.0628138184939297,0.0193297785544008,0.00957272086980701,0.00560205248386877,0.0533657118335852,0.0436993219701397
7,0.6,0.0641585664006909,0.0230839102256945,0.00862418226648983,0.00551072887383687,0.0641236694718924,0.0449742688584967
8,0.7,0.0612969458769353,0.0216250197457518,0.00585934770532011,0.00352439367016155,0.0577187388249747,0.050204019929696
9,0.8,0.0548701339457348,0.0180342891354759,0.00448023730289992,0.0026457797956515,0.0605660970851697,0.056204442729881
10,0.9,0.0545908805104036,0.0214480206126501,0.00246530225796503,0.0014468032554716,0.0625494544117505,0.063794416741944
