rho,methods,MSEf_value
0,PLS,0.106831222974307
0,PLS,0.0618555550368642
0,PLS,0.0796981248401917
0,PLS,0.0920065050176579
0,PLS,0.0735886843174556
0,PLS,0.110558883143705
0,PLS,0.0515668355987301
0,PLS,0.0478025819997282
0,PLS,0.0893223452195153
0,PLS,0.100847436706383
0,PLS,0.128894555539169
0,PLS,0.119500331928149
0,PLS,0.115044722235044
0,PLS,0.0734632512356795
0,PLS,0.0982461360293865
0,PLS,0.0886908953744427
0,PLS,0.0766944456142425
0,PLS,0.0839815805171867
0,PLS,0.0679982139018445
0,PLS,0.0970800311695406
0,PLS,0.0986423367475072
0,PLS,0.0331630302836222
0,PLS,0.0901459045251543
0,PLS,0.116703736332713
0,PLS,0.0622982414344652
0,PLS,0.0830728444012966
0,PLS,0.0531006699887666
0,PLS,0.0917513495503785
0,PLS,0.083073250256695
0,PLS,0.0451348486857311
0,PLS,0.0677831028258828
0,PLS,0.0486121208993177
0,PLS,0.0753558331605449
0,PLS,0.0535362058232653
0,PLS,0.0475851709575336
0,PLS,0.0556484845801222
0,PLS,0.0707738543470706
0,PLS,0.0645537445997318
0,PLS,0.0847371981644194
0,PLS,0.066339379868481
0,PLS,0.0558598949996209
0,PLS,0.103135588909528
0,PLS,0.089330481165234
0,PLS,0.0604520967026147
0,PLS,0.0476522987252774
0,PLS,0.0827318010730402
0,PLS,0.090691301877657
0,PLS,0.0852158183556872
0,PLS,0.0935326529956441
0,PLS,0.0991885035942075
0,PLS,0.0610087996337256
0,PLS,0.0650959286850927
0,PLS,0.0366793875118399
0,PLS,0.0668996916997948
0,PLS,0.0796344392673909
0,PLS,0.0535591104212376
0,PLS,0.0887528096628482
0,PLS,0.072911685171073
0,PLS,0.0596764463866221
0,PLS,0.0354914088816897
0,PLS,0.0771481035168137
0,PLS,0.0631440373521261
0,PLS,0.0797977491042073
0,PLS,0.0791402770609967
0,PLS,0.0604101693375081
0,PLS,0.0686854603196284
0,PLS,0.047222985363348
0,PLS,0.0779958471535367
0,PLS,0.0780208368749403
0,PLS,0.0816626362377051
0,PLS,0.0583016306932738
0,PLS,0.114984207920097
0,PLS,0.110725913788841
0,PLS,0.120804179202345
0,PLS,0.0683584347250568
0,PLS,0.122046594335805
0,PLS,0.0681992704378695
0,PLS,0.0481735524424339
0,PLS,0.0746569331241864
0,PLS,0.0601843166745875
0,PLS,0.0446117303448071
0,PLS,0.0949122799991376
0,PLS,0.0563764350836074
0,PLS,0.0780745599666677
0,PLS,0.0823538773154804
0,PLS,0.0569134818222452
0,PLS,0.0871330985040191
0,PLS,0.0822771597176499
0,PLS,0.0707271688019352
0,PLS,0.0796236125380889
0,PLS,0.113105873831112
0,PLS,0.0721341409013896
0,PLS,0.0736350343178099
0,PLS,0.0583597481445321
0,PLS,0.0479637949276934
0,PLS,0.0718758831136246
0,PLS,0.0987066017024945
0,PLS,0.082948363033949
0,PLS,0.064595123481461
0,PLS,0.0581295680968448
0,PLS,0.0556623511183642
0,PLS,0.0609801968911292
0,PLS,0.117406349235814
0,PLS,0.0536495639400278
0,PLS,0.0691954391783436
0,PLS,0.0544015870159162
0,PLS,0.13089211978382
0,PLS,0.111357246755911
0,PLS,0.0476426357760217
0,PLS,0.0744174687178873
0,PLS,0.0654898872850777
0,PLS,0.10328469611553
0,PLS,0.0504990693338665
0,PLS,0.0602724070942651
0,PLS,0.0474738378449827
0,PLS,0.0700946554912763
0,PLS,0.0424925570986025
0,PLS,0.0636719004775607
0,PLS,0.0590075348738458
0,PLS,0.0660037928387894
0,PLS,0.0875687050688473
0,PLS,0.0681022262114582
0,PLS,0.107040073594506
0,PLS,0.0620024149478434
0,PLS,0.0973692311269692
0,PLS,0.0957587009817517
0,PLS,0.0694903903044413
0,PLS,0.0456577890606808
0,PLS,0.0916358679356827
0,PLS,0.0692267438802776
0,PLS,0.0979680714163661
0,PLS,0.0728616966186158
0,PLS,0.146848573766264
0,PLS,0.0864132352275079
0,PLS,0.0441781356062454
0,PLS,0.0736214919698163
0,PLS,0.0705721166377479
0,PLS,0.076326517078762
0,PLS,0.0515163314761967
0,PLS,0.096053969519895
0,PLS,0.0790258940466418
0,PLS,0.0760760047485452
0,PLS,0.0933037695921167
0,PLS,0.0778707174337699
0,PLS,0.0933572147849995
0,PLS,0.0890290943729867
0,PLS,0.0631710520789154
0,PLS,0.0925720444017234
0,PLS,0.062713527419764
0,PLS,0.109788193422707
0,PLS,0.0495591141072704
0,PLS,0.052688420656261
0,PLS,0.0409079653077259
0,PLS,0.0682499362831853
0,PLS,0.0500155247240953
0,PLS,0.0574984377398009
0,PLS,0.0836324933669571
0,PLS,0.0829330339723133
0,PLS,0.0625770556549296
0,PLS,0.0435802174456562
0,PLS,0.0595162412189611
0,PLS,0.0470156864729079
0,PLS,0.0650360028160236
0,PLS,0.0890672071712517
0,PLS,0.0722328630314027
0,PLS,0.0840813556173461
0,PLS,0.0732471503939898
0,PLS,0.0666704281484095
0,PLS,0.0716037139949791
0,PLS,0.0640170630015691
0,PLS,0.0707150565270305
0,PLS,0.0588246434251103
0,PLS,0.0482041141814855
0,PLS,0.0573438433056706
0,PLS,0.0970591327586125
0,PLS,0.0509542635907788
0,PLS,0.0839262601820664
0,PLS,0.0737163116532042
0,PLS,0.102942179598241
0,PLS,0.0757465269991024
0,PLS,0.0892495938856483
0,PLS,0.0773744698431688
0,PLS,0.0758952392848534
0,PLS,0.0694317235323382
0,PLS,0.0717271574095586
0,PLS,0.112402091169936
0,PLS,0.0629510814090883
0,PLS,0.0561733462694596
0,PLS,0.0961903439891518
0,PLS,0.0964668914488576
0,PLS,0.0706948942882535
0,PLS,0.0696873864510776
0,PLS,0.0613721519939384
0,PLS,0.0694089008552073
0,PLS,0.0673944383972489
0,PLS,0.0659888950917142
0,PLS,0.10089028719759
0,PLS,0.0835849238569632
0,PLS,0.0403695873188319
0,PLS,0.0743166281248803
0,fTS,0.106853211747955
0,fTS,0.0618470294282251
0,fTS,0.0796980515866949
0,fTS,0.092902947072958
0,fTS,0.0735684046164685
0,fTS,0.109000261718468
0,fTS,0.0515639721698249
0,fTS,0.0478025819997282
0,fTS,0.0892447098013503
0,fTS,0.100754345708552
0,fTS,0.128783513286346
0,fTS,0.119500573450488
0,fTS,0.115044722235044
0,fTS,0.0734632512356795
