,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,1,1,0.965348837209302,0.0746319107415092,0.0237205868286877,0.0158141698867993,0.00907798745221112,0.0661281084082436,0.0292201051960353
2,0.1,1,1,1,0.967790697674419,0.0773694770634399,0.0278290918576382,0.0155437450589147,0.00899264179369927,0.0665293856886813,0.031528296157357
3,0.2,1,1,1,0.966046511627907,0.0740562566579575,0.025218773667629,0.0168276789933062,0.00824318491020085,0.0657502218093844,0.0321144066124974
4,0.3,1,1,1,0.966046511627907,0.0743741367290095,0.0272063670024926,0.0149337179111174,0.00898247761769382,0.0659804288490146,0.0337439783437995
5,0.4,1,1,1,0.968372093023256,0.0746711576602121,0.0252278585304403,0.0135682769166078,0.00793081471651741,0.0653611893059267,0.0389278860224006
6,0.5,1,1,1,0.966860465116279,0.0709823317567845,0.0256215759514782,0.0115895415944382,0.00633877987241368,0.0642716868921464,0.0343806652344335
7,0.6,1,1,1,0.971627906976744,0.065806858702787,0.0230108700555297,0.00986913685637388,0.00562145000724832,0.0631800744358108,0.0354815291828189
8,0.7,1,1,1,0.972209302325581,0.0649278089992343,0.0222965651884257,0.00807274409424422,0.00525551439840259,0.061237001809364,0.0442630947470041
9,0.8,1,1,1,0.977906976744186,0.062110854693662,0.0213355300403378,0.00568184167846939,0.00315424149489005,0.0597211576980554,0.0510244734126352
10,0.9,1,1,1,0.973255813953488,0.0548299030386198,0.0204818783768214,0.00368515352267556,0.00272006556527552,0.0545406381005816,0.0587466302502237
