,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,1,1,0.972558139534884,0.0548046468905595,0.0158203195543097,0.0107828923270828,0.00589996364466919,0.0588964327347834,0.0319103149537432
2,0.1,1,1,1,0.966976744186047,0.0574806152596609,0.0166581710407188,0.0103787629841794,0.00602702499633433,0.0640141736865811,0.0328381855965828
3,0.2,1,1,1,0.971046511627907,0.055929047599655,0.017049620458211,0.0088195732186203,0.00463320272668985,0.0658977599409451,0.0327743518774385
4,0.3,1,1,1,0.969186046511628,0.053776065216701,0.0157429341067178,0.00890201065119595,0.00459002961784277,0.0637561753675065,0.0314802924960864
5,0.4,1,1,1,0.970930232558139,0.0514046800024096,0.016830362250496,0.00667169761192467,0.0034309966345609,0.0583863189867692,0.0313238352055676
6,0.5,1,1,1,0.968604651162791,0.0491684986757439,0.0164191827409972,0.00636921324303948,0.00363592039876607,0.0565963177550309,0.0395509211531263
7,0.6,1,1,1,0.971279069767442,0.04646295142215,0.0135553648025502,0.00507990536441327,0.00294413284646545,0.05521061603819,0.0465639611478282
8,0.7,1,1,1,0.971976744186047,0.0451250464345528,0.0134847491267558,0.00388888922647243,0.00233072305965653,0.0586819316876455,0.053053341912965
9,0.8,1,1,1,0.975232558139535,0.0432622775562834,0.0128524658595568,0.00287395791416063,0.00158687962571487,0.0582001581687027,0.052842021521461
10,0.9,1,1,1,0.970348837209302,0.0434428114010079,0.0121155778882593,0.0017023398562876,0.000955565656249187,0.0641138930146729,0.062532097750665
