rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.211611025,0.148804273,0.049120599,0.030194802,0.426801132,0.079769862
0.1,0.21872197,0.140123564,0.047361529,0.028456914,0.435351651,0.077197193
0.2,0.233529027,0.17777238,0.049153008,0.02804474,0.438418716,0.095681513
0.3,0.243984753,0.204294661,0.042104907,0.021623899,0.436882546,0.107367648
0.4,0.24352195,0.221223273,0.038044297,0.02170255,0.427386791,0.117270224
0.5,0.228052951,0.204451641,0.031005628,0.019732522,0.408884587,0.099962048
0.6,0.220725335,0.203294948,0.026456714,0.015736596,0.399891404,0.09870828
0.7,0.222775189,0.222411213,0.019754788,0.013476657,0.392850298,0.108440273
0.8,0.215909916,0.230318462,0.016052135,0.010732121,0.380817974,0.120119206
0.9,0.263374682,0.293318057,0.009752965,0.006792323,0.391533515,0.13753292
