rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.09788104,0.031402292,0.02204486,0.014166713,0.348889508,0.039641565
0.1,0.105062048,0.03941894,0.023284981,0.014627523,0.351347533,0.041896924
0.2,0.099276944,0.033200673,0.0237254,0.013315589,0.351169435,0.042457535
0.3,0.100744211,0.036661187,0.023755248,0.01243236,0.349390144,0.040687875
0.4,0.100766414,0.034227076,0.023670866,0.013371829,0.349886981,0.041618853
0.5,0.100980076,0.036885892,0.024980539,0.015809872,0.353744081,0.046817747
0.6,0.102798588,0.055381109,0.022655316,0.016497854,0.352066565,0.053018829
0.7,0.104944659,0.041300255,0.023473142,0.017130177,0.360236836,0.053828477
0.8,0.097234645,0.043320079,0.022086334,0.015507055,0.347925256,0.052990453
0.9,0.105599273,0.056603182,0.025610577,0.017713109,0.351860869,0.059560643
