rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.946627907,0.129754029,0.054013083,0.037658677,0.022416485,0.378722223,0.04954859
0.1,1,1,1,0.947209302,0.132335602,0.057998638,0.035915261,0.019783956,0.380168272,0.05440696
0.2,1,1,1,0.953139535,0.131860107,0.060681373,0.034771817,0.020463933,0.384597939,0.056420851
0.3,1,1,1,0.951395349,0.133401195,0.079787729,0.033805696,0.017695344,0.378947162,0.057641481
0.4,1,1,1,0.950348837,0.130644107,0.062302316,0.03466033,0.017984613,0.376459763,0.055080736
0.5,1,1,1,0.946976744,0.136652906,0.06969012,0.038975858,0.022519014,0.377977337,0.063824319
0.6,1,1,1,0.947325581,0.132413683,0.073874545,0.037022631,0.021951771,0.379430177,0.058752535
0.7,1,1,1,0.949534884,0.143185853,0.076737596,0.036106083,0.026240856,0.382287328,0.065873367
0.8,1,1,1,0.94755814,0.150405231,0.11561456,0.037848689,0.031226616,0.387946919,0.08172903
0.9,1,1,1,0.940232558,0.138263863,0.10742761,0.037072247,0.02505889,0.376735704,0.077140327
