rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.951627907,0.099190861,0.0343898,0.025450303,0.013886478,0.356250227,0.03920917
0.1,1,1,1,0.954418605,0.10012257,0.033407495,0.027456594,0.016307571,0.35321655,0.043544346
0.2,1,1,1,0.953953488,0.098980037,0.033929182,0.025832826,0.014649615,0.351246012,0.042466243
0.3,1,1,1,0.954186047,0.10230379,0.036792534,0.025828215,0.015179404,0.350655873,0.047385987
0.4,1,1,1,0.948953488,0.104008091,0.041972536,0.025768876,0.016588682,0.357680535,0.053087726
0.5,1,1,1,0.949186047,0.099315438,0.036970009,0.025734177,0.014966515,0.34641484,0.04122161
0.6,1,1,1,0.955116279,0.09919189,0.036847246,0.025185583,0.016513332,0.357849008,0.057623963
0.7,1,1,1,0.952790698,0.106690726,0.046271156,0.02751961,0.021399373,0.36021081,0.060222252
0.8,1,1,1,0.955,0.097615843,0.04214633,0.026008145,0.017615329,0.355001511,0.057019719
0.9,1,1,1,0.961627907,0.10891184,0.055913861,0.023630891,0.016387175,0.355280648,0.063852245
