rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.099098439,0.034496825,0.022883363,0.014234715,0.353865364,0.039932892
0.1,0.100054362,0.032944561,0.023702529,0.014139067,0.349343762,0.042795402
0.2,0.095435771,0.032063222,0.020586506,0.012513352,0.341980331,0.040653752
0.3,0.095397876,0.032161738,0.019565777,0.011695956,0.336958858,0.040773109
0.4,0.09344094,0.033923896,0.016349147,0.01029309,0.337121082,0.042543921
0.5,0.087471064,0.031672893,0.014534584,0.009431956,0.32459964,0.030888433
0.6,0.081490664,0.028599098,0.011800441,0.006996741,0.323673584,0.03679491
0.7,0.081497221,0.029818774,0.009999799,0.007185456,0.316772165,0.032784126
0.8,0.069107148,0.025856933,0.007379276,0.005091487,0.30779969,0.028389342
0.9,0.071580836,0.032183741,0.004204832,0.002869078,0.302933521,0.025087916
