rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.958372093,0.097860757,0.031434613,0.024495074,0.014756045,0.350835135,0.039942248
0.1,1,1,1,0.959651163,0.104979332,0.039588367,0.026033113,0.015416926,0.353211517,0.042574982
0.2,1,1,1,0.962906977,0.096812862,0.030962765,0.025350901,0.013588921,0.349528707,0.039646047
0.3,1,1,1,0.971511628,0.098478822,0.036617455,0.023525181,0.012273213,0.346229568,0.040231849
0.4,1,1,1,0.979651163,0.097113427,0.033720298,0.021283902,0.012680959,0.341745976,0.038631421
0.5,1,1,1,0.977209302,0.09478461,0.034436359,0.020503898,0.011830433,0.341220171,0.039325259
0.6,1,1,1,0.982209302,0.09089866,0.045468718,0.015526133,0.009203031,0.32968966,0.042335414
0.7,1,1,1,0.98744186,0.088747361,0.031858369,0.012901405,0.008060431,0.328400895,0.035281398
0.8,1,1,1,0.992209302,0.07865787,0.030981391,0.008627117,0.006172255,0.315186964,0.032294841
0.9,1,1,1,0.995232558,0.076594818,0.036085534,0.005397147,0.003893906,0.301986236,0.028714656
