rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.129640467,0.053923513,0.032169422,0.020400387,0.37390515,0.049540748
0.1,0.130588382,0.049705772,0.030869716,0.017880906,0.374668969,0.052167881
0.2,0.133068118,0.062271991,0.031233619,0.018180985,0.382168869,0.057488619
0.3,0.134197728,0.080307862,0.030978832,0.016886319,0.377082218,0.057642468
0.4,0.131211575,0.062826132,0.030447961,0.015988754,0.372939182,0.057427088
0.5,0.135831518,0.06946132,0.035059157,0.021173551,0.373401556,0.062996741
0.6,0.128610577,0.05868071,0.032927831,0.020520376,0.374624101,0.059864532
0.7,0.143203644,0.076764309,0.031255577,0.020771148,0.37821067,0.065192955
0.8,0.150507125,0.115968072,0.033142759,0.021144439,0.383943525,0.080508905
0.9,0.138238518,0.107473836,0.031948472,0.022971545,0.371362674,0.076350397
