rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.953023256,0.099208263,0.034623517,0.025530933,0.013910087,0.356306858,0.039204077
0.1,1,1,1,0.960348837,0.100031119,0.032906578,0.027139163,0.015813025,0.352250651,0.043557895
0.2,1,1,1,0.968139535,0.096174427,0.033132467,0.023791436,0.013789443,0.345085287,0.04117044
0.3,1,1,1,0.972790698,0.095462901,0.032082042,0.021680119,0.012037896,0.338967525,0.040508686
0.4,1,1,1,0.974651163,0.093432166,0.033926868,0.018493225,0.011454701,0.339029605,0.042685011
0.5,1,1,1,0.978488372,0.08716039,0.030996543,0.016529247,0.009682838,0.326359008,0.031373989
0.6,1,1,1,0.983255814,0.081378651,0.028577988,0.013387048,0.00826422,0.325094513,0.036862492
0.7,1,1,1,0.989069767,0.081549672,0.029848392,0.011809062,0.013528621,0.318657821,0.035092082
0.8,1,1,1,0.992093023,0.069085697,0.025852526,0.008088858,0.005648332,0.308417771,0.028038066
0.9,1,1,1,0.99627907,0.071597039,0.032188506,0.004294847,0.002986113,0.303030931,0.025068354
