rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.228814913,0.169032187,0.051996914,0.031877217,0.440363256,0.087937096
0.1,0.227819596,0.170925846,0.047091444,0.027989652,0.435451365,0.090923387
0.2,0.231624645,0.154539282,0.043310175,0.027370013,0.437987932,0.092513631
0.3,0.22526681,0.17873166,0.043007886,0.028902211,0.429952666,0.099813039
0.4,0.242415518,0.17307962,0.03915898,0.022311456,0.434297888,0.094808121
0.5,0.234607868,0.214930357,0.033701149,0.019771993,0.419213034,0.111797592
0.6,0.240541047,0.217461621,0.029457976,0.017202628,0.415490585,0.111851358
0.7,0.248744825,0.22307562,0.024242486,0.014612139,0.412761925,0.104685757
0.8,0.229782456,0.224786382,0.017837416,0.011836322,0.387586904,0.107000626
0.9,0.267759545,0.257324459,0.011891738,0.008992594,0.389037441,0.120735691
