rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.943837209,0.227562321,0.168396332,0.058315438,0.031600863,0.445755215,0.087512058
0.1,1,1,1,0.944534884,0.225881166,0.160893129,0.056219643,0.033983813,0.441705787,0.087956338
0.2,1,0.9996875,1,0.943139535,0.231960196,0.154806882,0.051533409,0.027842311,0.447557183,0.093656716
0.3,1,1,1,0.943837209,0.230761527,0.184327218,0.058932261,0.036736716,0.447343673,0.106170994
0.4,1,1,1,0.949534884,0.249997694,0.167631769,0.056302473,0.031466636,0.457660121,0.100715295
0.5,1,1,1,0.945930233,0.233616887,0.204582339,0.055949158,0.035067966,0.444956213,0.111052523
0.6,1,1,1,0.938953488,0.262478894,0.220750581,0.059225226,0.035929207,0.459691799,0.116851929
0.7,1,1,1,0.93755814,0.265280809,0.209988843,0.060858528,0.037837088,0.470724504,0.11759725
0.8,1,1,1,0.945581395,0.265049283,0.226042455,0.056805457,0.036110165,0.464715237,0.123755944
0.9,1,0.9996875,1,0.949418605,0.276487009,0.231868994,0.057040257,0.042388294,0.463390014,0.12970435
