rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.130193694,0.045701157,0.032658629,0.019403226,0.370435911,0.047010172
0.1,0.12895381,0.047857794,0.031151303,0.018326358,0.373763225,0.048833837
0.2,0.126848409,0.052562574,0.031582173,0.018649026,0.370288589,0.049650053
0.3,0.133342389,0.06547093,0.030797018,0.018722271,0.369672601,0.057259468
0.4,0.134354463,0.072663647,0.031749476,0.020376951,0.376153026,0.058636114
0.5,0.126432552,0.050063931,0.030744351,0.021280377,0.372761946,0.059530454
0.6,0.131516283,0.063793967,0.030662997,0.018741371,0.376694426,0.05758103
0.7,0.131684456,0.067764915,0.030083021,0.020083041,0.372695818,0.071521649
0.8,0.135525103,0.073061217,0.030796042,0.021720319,0.381163796,0.072253264
0.9,0.133267269,0.065996791,0.030766783,0.020354466,0.375151911,0.075254728
