rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.21130747,0.148931787,0.049355145,0.030180249,0.426927711,0.079938435
0.1,0.219123312,0.140063852,0.04822951,0.028742859,0.436684665,0.077003098
0.2,0.234398496,0.17207913,0.05459172,0.033191203,0.447379633,0.098795207
0.3,0.248330515,0.189698291,0.051393424,0.027844162,0.453833467,0.104022472
0.4,0.25210135,0.210631877,0.052599992,0.034782327,0.458012662,0.121597259
0.5,0.245084981,0.205688048,0.04683224,0.032644623,0.441507616,0.114501101
0.6,0.240340384,0.179955973,0.049087981,0.032435439,0.451926564,0.101715463
0.7,0.251388047,0.213471852,0.044594993,0.027001327,0.449668705,0.129521685
0.8,0.251193992,0.206146491,0.055792029,0.039167086,0.460342002,0.140626883
0.9,0.288390725,0.263982747,0.052424695,0.038566057,0.463777086,0.140635407
