rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.12968237,0.053950007,0.032209725,0.020450964,0.373997076,0.049562321
0.1,0.130640144,0.049542383,0.030659486,0.018133037,0.374659932,0.05178808
0.2,0.130851267,0.060333552,0.028712933,0.016951207,0.377312419,0.055215737
0.3,0.132112656,0.080185096,0.027305052,0.014690001,0.371527752,0.057284455
0.4,0.125434908,0.058598691,0.024843944,0.014473385,0.361507824,0.05297917
0.5,0.127718472,0.067406379,0.023495211,0.013379933,0.355601249,0.055974916
0.6,0.114297126,0.061169967,0.019885216,0.012377185,0.350589938,0.054942455
0.7,0.122506567,0.07490674,0.014858578,0.010442972,0.340609171,0.051531919
0.8,0.132995589,0.123774436,0.011417452,0.007732504,0.341083916,0.067266615
0.9,0.113371855,0.121290169,0.006665452,0.004631552,0.319904357,0.061451878
