rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.946395349,0.207026146,0.137421272,0.056762772,0.031774046,0.432370848,0.076665588
0.1,1,1,1,0.945697674,0.221090595,0.140389262,0.055472147,0.031242191,0.443238854,0.078237246
0.2,1,1,1,0.962093023,0.233811376,0.181637422,0.057842651,0.034363007,0.446246413,0.099215654
0.3,1,1,1,0.968372093,0.233234866,0.192980586,0.049034522,0.025850556,0.438369963,0.105608685
0.4,1,1,1,0.972790698,0.242495422,0.222738661,0.04497778,0.027729537,0.432308445,0.120084598
0.5,1,1,1,0.978023256,0.232399273,0.210755101,0.036200499,0.023391516,0.415242931,0.103579951
0.6,1,1,1,0.978139535,0.221452187,0.203481377,0.030120836,0.018549866,0.403469457,0.099207474
0.7,1,1,1,0.987325581,0.220968745,0.216542792,0.021705668,0.016302859,0.394045251,0.107486385
0.8,1,1,1,0.990232558,0.215757393,0.230304433,0.017944235,0.011914617,0.38271955,0.121542504
0.9,1,1,1,0.99255814,0.261746982,0.292990327,0.010605483,0.007321182,0.391918931,0.137865562
