rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.945465116,0.227420104,0.168502141,0.058778042,0.031132968,0.446311701,0.087783489
0.1,1,1,1,0.949534884,0.219860132,0.154039041,0.056414195,0.033484915,0.439819004,0.087151915
0.2,1,1,1,0.954883721,0.231225156,0.154269492,0.049733696,0.028495009,0.444376818,0.092941675
0.3,1,1,1,0.962674419,0.22422287,0.179226141,0.049313673,0.030342551,0.434806923,0.099842029
0.4,1,1,1,0.971162791,0.243185687,0.173176336,0.045999477,0.025201817,0.440632299,0.097183061
0.5,1,1,1,0.974186047,0.234394176,0.214922948,0.040684372,0.026948858,0.424575869,0.11231074
0.6,1,1,1,0.97744186,0.23872336,0.215105896,0.037042356,0.029293211,0.421519802,0.114207234
0.7,1,1,1,0.980813953,0.253713725,0.226418599,0.028787849,0.018105593,0.418557288,0.105374035
0.8,1,1,1,0.989069767,0.229837487,0.224726251,0.020655151,0.015223937,0.390420969,0.107348359
0.9,1,1,1,0.993488372,0.262628171,0.255502357,0.013879591,0.013702248,0.388005503,0.121283909
