rho,methods,MSEf_value
0,PLS,0.100929740216948
0,PLS,0.0367990928778856
0,PLS,0.0723188254622203
0,PLS,0.0725211244316125
0,PLS,0.0977485763526656
0,PLS,0.0710095828590006
0,PLS,0.0341887481667142
0,PLS,0.0521239550323366
0,PLS,0.0529784076738988
0,PLS,0.0596779950504655
0,PLS,0.0553983016846354
0,PLS,0.0434613739490812
0,PLS,0.0660011685492816
0,PLS,0.099959842424448
0,PLS,0.0450783321629389
0,PLS,0.0701169113139915
0,PLS,0.0353918221446528
0,PLS,0.0451327310174004
0,PLS,0.0575076559541968
0,PLS,0.0594432086144955
0,PLS,0.0570614807109888
0,PLS,0.0697658714328841
0,PLS,0.0533825115721328
0,PLS,0.0619358556317336
0,PLS,0.0384143983501163
0,PLS,0.0635704917322786
0,PLS,0.0582076878212651
0,PLS,0.0580965119705366
0,PLS,0.1073861631812
0,PLS,0.0937460076611293
0,PLS,0.0750506677155495
0,PLS,0.0411344179779641
0,PLS,0.0771551227988376
0,PLS,0.0500905203376929
0,PLS,0.0517956930490911
0,PLS,0.0551553021163946
0,PLS,0.075122625686157
0,PLS,0.0396524289395377
0,PLS,0.0762211081114358
0,PLS,0.0532948238386548
0,PLS,0.0625363022641936
0,PLS,0.0362831992993101
0,PLS,0.116001157655673
0,PLS,0.0575579826848948
0,PLS,0.0556033204956686
0,PLS,0.0602137300512974
0,PLS,0.0737604594156927
0,PLS,0.0865202722046064
0,PLS,0.0386649821166801
0,PLS,0.059842858194254
0,PLS,0.0476519424250411
0,PLS,0.0490770717976336
0,PLS,0.0700704095661603
0,PLS,0.0460707258280257
0,PLS,0.0911142887617714
0,PLS,0.0479063890140436
0,PLS,0.0622993562252556
0,PLS,0.0494418883614515
0,PLS,0.0888396890161004
0,PLS,0.0686328949411506
0,PLS,0.0580141264184913
0,PLS,0.07816626993793
0,PLS,0.0453840182299965
0,PLS,0.0764025509807184
0,PLS,0.0555268753836826
0,PLS,0.0735115019952222
0,PLS,0.0936188518791633
0,PLS,0.0882628165902053
0,PLS,0.0659043264590387
0,PLS,0.0755506534485144
0,PLS,0.0582799647243062
0,PLS,0.0824164221393394
0,PLS,0.0468087975590399
0,PLS,0.0992282449970538
0,PLS,0.0773190429483039
0,PLS,0.0540582680659817
0,PLS,0.0488678234795907
