rho,methods,PE_value
0,PLS,0.0427952793515114
0,PLS,0.0491834275880365
0,PLS,0.0394698276557885
0,PLS,0.116245905460231
0,PLS,0.0317274820630646
0,PLS,0.0802360838820679
0,PLS,0.0803397792877394
0,PLS,0.0407297967238376
0,PLS,0.0566054058885586
0,PLS,0.103534935232013
0,PLS,0.0384819642182963
0,PLS,0.110096059398272
0,PLS,0.0867770387715541
0,PLS,0.080368617978942
0,PLS,0.0360249643174573
0,PLS,0.0149613353703151
0,PLS,0.0515518693942361
0,PLS,0.0776269023667391
0,PLS,0.0566670474660904
0,PLS,0.0908773602353328
0,PLS,0.08120995676497
0,PLS,0.0616467985329558
0,PLS,0.0838387573899142
0,PLS,0.0694126252898546
0,PLS,0.0868105642472241
0,PLS,0.0703931892166787
0,PLS,0.045461318717567
0,PLS,0.0367933912626111
0,PLS,0.0735160229005056
0,PLS,0.0680836500643298
0,PLS,0.037765900801435
0,PLS,0.138959606693267
0,PLS,0.0811907172979218
0,PLS,0.0350702378319354
0,PLS,0.0648556705159864
0,PLS,0.049825606848299
0,PLS,0.0463345645438515
0,PLS,0.0986506450823408
0,PLS,0.0821823904489112
0,PLS,0.0916220511181698
0,PLS,0.0392775166298893
0,PLS,0.0668173695696705
0,PLS,0.0834431894663119
0,PLS,0.030078760736147
0,PLS,0.0868367150899161
0,PLS,0.0782779245359233
0,PLS,0.00955138333948291
0,PLS,0.108216298235464
0,PLS,0.0182646490097216
0,PLS,0.0589334487903042
0,PLS,0.0954672488269734
0,PLS,0.0719181383287022
0,PLS,0.0906706560959221
0,PLS,0.0786695907199473
0,PLS,0.0658174729007341
0,PLS,0.0347921962959166
0,PLS,0.00498008416288132
0,PLS,0.0505044675756372
0,PLS,0.0744071027950481
0,PLS,0.0976748579334641
0,PLS,0.0853362192225373
0,PLS,0.0616791989235044
0,PLS,0.0236536138812184
0,PLS,0.0920087775151319
0,PLS,0.0922570495012109
0,PLS,0.0756189128242846
0,PLS,0.0366009061434003
0,PLS,0.075184265959396
0,PLS,0.0763915188714692
0,PLS,0.102320508712613
0,PLS,0.0609036797054701
0,PLS,0.0167691532054965
0,PLS,0.0130275637175652
0,PLS,0.140286357456783
0,PLS,0.0341318893908895
0,PLS,0.067478233397015
0,PLS,0.126784419107905
0,PLS,0.0537377245800403
0,PLS,0.0696189855515059
0,PLS,0.0861895379054038
0,PLS,0.0995793057408134
0,PLS,0.111091390376442
0,PLS,0.0842115195869613
0,PLS,0.0706074235979863
0,PLS,0.0918455695073881
0,PLS,0.0981247091505459
0,PLS,0.0544005938602181
0,PLS,0.0632632823600163
0,PLS,0.0746119659939668
0,PLS,0.054682433182913
0,PLS,0.0906373791434127
0,PLS,0.0439762961763308
0,PLS,0.0744905724092277
0,PLS,0.0164418916638489
0,PLS,0.0833699299306192
0,PLS,0.0884796946160722
0,PLS,0.108080744822286
0,PLS,0.018618018520514
0,PLS,0.0502685330740662
0,PLS,0.0658182071092814
0,PLS,0.0934266616773338
0,PLS,0.0624089455518886
0,PLS,0.0267491425302833
0,PLS,0.0615768484408012
0,PLS,0.129375648350476
0,PLS,0.0791659899329624
0,PLS,0.112983634034432
0,PLS,0.0921153599954523
0,PLS,0.062546474045325
0,PLS,0.111023244640846
0,PLS,0.00952589752723521
0,PLS,0.0179783873962458
0,PLS,0.0962088903453695
0,PLS,0.0409333897795203
0,PLS,0.0369541046590294
0,PLS,0.0304731767155615
0,PLS,0.0880090149454948
0,PLS,0.0215778929222121
0,PLS,0.0482473126948741
0,PLS,0.00537620250026127
0,PLS,0.117714620803194
0,PLS,0.00458796044236998
0,PLS,0.0567619060099851
0,PLS,0.0955851277587694
0,PLS,0.0806976605119205
0,PLS,0.0885664877362382
0,PLS,0.0653204030765153
0,PLS,0.0753323789149813
0,PLS,0.066091836433678
0,PLS,0.0429760917556816
0,PLS,0.0541604580798614
0,PLS,0.0261649657297034
0,PLS,0.112887232913186
0,PLS,0.0671483387124145
0,PLS,0.105036159982008
0,PLS,0.0471011672678388
0,PLS,0.098574933184062
