rho,methods,PE_value
0,PLS,0.0575447946664516
0,PLS,0.0633183013960086
0,PLS,0.0178807549823687
0,PLS,0.0857602647846345
0,PLS,0.0264345712435576
0,PLS,0.0191916290289038
0,PLS,0.0427941161937584
0,PLS,0.088177242726162
0,PLS,0.0905858331952636
0,PLS,0.0118106612496649
0,PLS,0.0612480017238024
0,PLS,0.0816875939416195
0,PLS,0.066307159330393
0,PLS,0.0656568126095138
0,PLS,0.0571333527305267
0,PLS,0.0574256220516012
0,PLS,0.0330005613701143
0,PLS,0.0894940384332625
0,PLS,0.0181112783223256
0,PLS,0.0936015687188223
0,PLS,0.0728581303083804
0,PLS,0.0541806139468684
0,PLS,0.0348770528205391
0,PLS,0.0377637089775045
0,PLS,0.0139671969287429
0,PLS,0.0362368017860737
0,PLS,0.084786114461614
0,PLS,0.0623296277109022
0,PLS,0.106578519049378
0,PLS,0.0688070199785979
0,PLS,0.11951940505473
0,PLS,0.088726107004818
0,PLS,0.0677454091186585
0,PLS,0.0291256772668467
0,PLS,0.0798518353113671
0,PLS,-0.00173902349984256
0,PLS,0.0810218884430407
0,PLS,0.0887974258180144
0,PLS,0.0664592352128843
0,PLS,0.0999748701199403
0,PLS,0.00316167123333089
0,PLS,0.00886849813526647
0,PLS,0.0685359391262561
0,PLS,0.0910430766959562
0,PLS,0.05464671708258
0,PLS,0.05404183859763
0,PLS,0.118987467438718
0,PLS,0.0355357300719537
0,PLS,0.072440032497189
0,PLS,0.0645728064459745
0,PLS,0.0645919425812329
0,PLS,0.0912974587012239
0,PLS,0.0494130728162789
0,PLS,0.0617794479610969
0,PLS,0.0611933188420286
0,PLS,0.0117522805210335
0,PLS,0.076562368231843
0,PLS,0.0632153968359195
0,PLS,0.0884766997341202
0,PLS,0.104849404717175
0,PLS,0.0498123631957197
0,PLS,0.0816835155678277
0,PLS,0.0305215605179929
0,PLS,0.0846648373692491
0,PLS,0.0824927418307961
0,PLS,0.0707266571174812
0,PLS,0.0924635541410064
0,PLS,0.0393892636179478
0,PLS,0.040048406676283
0,PLS,0.102818077293548
0,PLS,0.0595093495948429
0,PLS,-0.0166581156550543
0,PLS,0.0855287951680113
0,PLS,0.0577458364146204
0,PLS,0.0580386079453863
0,PLS,0.0433105572571546
0,PLS,0.0777188289889377
0,PLS,0.0614071103247398
0,PLS,0.0532455345464304
0,PLS,0.0562938816066274
0,PLS,0.0563173015536553
0,PLS,0.0373428820693904
0,PLS,0.0713327340978527
0,PLS,0.0331802938223633
0,PLS,0.0325486076761914
0,PLS,0.0392250601002462
0,PLS,0.07967089008652
0,PLS,0.0645621742434253
0,PLS,0.0739616177050104
0,PLS,0.0404211946023425
0,PLS,0.0728911530042995
0,PLS,0.0641602089956022
0,PLS,0.0764421136780919
0,PLS,0.111823974007565
0,PLS,0.107671938327575
0,PLS,0.0861133091233004
0,PLS,0.0629811359060555
0,PLS,0.0777575314915779
0,PLS,0.0806914659642479
0,PLS,0.0536613806785777
0,PLS,0.0383985903448152
0,PLS,0.0193981923464719
0,PLS,0.142391098753363
0,PLS,0.0527600937883745
0,PLS,0.0749055587610583
0,PLS,0.0688037296860775
0,PLS,0.0687145013110702
0,PLS,0.0231764824421914
0,PLS,0.0578706571469298
0,PLS,0.0688142874660613
0,PLS,0.0532097114428749
0,PLS,0.0904928389972
0,PLS,0.0221460937061329
0,PLS,0.101174687259981
0,PLS,0.0796419937108441
0,PLS,0.115498576003815
0,PLS,0.0943640688390719
0,PLS,0.00269843858680852
0,PLS,0.0440648283748231
0,PLS,0.0341836089778655
0,PLS,0.0728529034897052
0,PLS,0.0955763101486855
0,PLS,0.0295434823232017
0,PLS,0.0754808691685973
0,PLS,0.0908766715585465
0,PLS,0.0663602020946474
0,PLS,0.0665367156953043
0,PLS,0.034768839232582
0,PLS,0.0725753331589376
0,PLS,0.056641611704731
0,PLS,0.0553921529501602
0,PLS,0.107223091597864
0,PLS,0.0422450744719267
0,PLS,0.0801186744086915
0,PLS,0.0373815085931224
0,PLS,0.144657151171564
0,PLS,0.0341088058662258
0,PLS,0.0354504530452997
0,PLS,-0.0121508245464301
0,PLS,0.0535618634083237
0,PLS,0.0714697889770373
0,PLS,0.00213371266720874
0,PLS,0.0507068182301242
