,rho,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,0.06451281827587,0.0180147845817334,0.0121073518342704,0.00679723791702632,0.0626469109784527,0.0303583415269036
2,0.1,0.0617613084377385,0.0190453384271217,0.0124472768773215,0.00709832713826373,0.0665453297369,0.0310916640664291
3,0.2,0.065807640209959,0.0232006717175588,0.0103195362829889,0.00579499430044637,0.0626532765702329,0.0311799803933305
4,0.3,0.0642838787331157,0.0216342415555894,0.0100946660107096,0.00636519783656859,0.060272571475866,0.0360340766014377
5,0.4,0.0640158999762022,0.0232135662886253,0.0098035172139007,0.00556446042031771,0.0618743903397467,0.036506709199914
6,0.5,0.0596114066719623,0.0205093009599321,0.00856829918449527,0.00496358789470547,0.0643650080594535,0.0371436226567094
7,0.6,0.0586467693845802,0.0217663329886859,0.00711584203466357,0.00470009788840643,0.0560837857046447,0.0442584509148291
8,0.7,0.0564698421502451,0.0188901279813782,0.00576085538527736,0.00393522509392455,0.0595566055368283,0.046146206598574
9,0.8,0.0508058192477175,0.0178590027245962,0.00410104308882504,0.00271827261776454,0.0553004246079199,0.0547470263319605
10,0.9,0.0502482323721291,0.015452014412008,0.0022959317399677,0.00146605533943274,0.0588945493464287,0.05382668380276
