rho,methods,MSEf_value
0,PLS,0.13637094814689
0,PLS,0.0508925762062021
0,PLS,0.0469980050237945
0,PLS,0.0665236691605768
0,PLS,0.0970071432841106
0,PLS,0.0700325585988622
0,PLS,0.0663285233274012
0,PLS,0.0448152371224353
0,PLS,0.0308138777478983
0,PLS,0.078975553275289
0,PLS,0.0710732977152268
0,PLS,0.0764796605860956
0,PLS,0.0650183688226786
0,PLS,0.0992051943834951
0,PLS,0.0437683772751929
0,PLS,0.070280510775045
0,PLS,0.0997125862976876
0,PLS,0.0560288100071662
0,PLS,0.0386555455287118
0,PLS,0.0611574627814627
0,PLS,0.108152174148276
0,PLS,0.0529738926856326
0,PLS,0.123559560218681
0,PLS,0.0489338620156164
0,PLS,0.0516662849856072
0,PLS,0.0466027428886561
0,PLS,0.0610533137655683
0,PLS,0.0596869630767096
0,PLS,0.0458753865970376
0,PLS,0.0624663715939289
0,PLS,0.0789832047264564
0,PLS,0.0522745252875062
0,PLS,0.0527376012291162
0,PLS,0.0361798042932208
0,PLS,0.0811153024284619
0,PLS,0.0797041527968947
0,PLS,0.075789737856837
0,PLS,0.0795876613469164
0,PLS,0.0543395914869004
0,PLS,0.0778601083135026
0,PLS,0.0977801692419915
0,PLS,0.0804813667721845
0,PLS,0.0770729830146833
0,PLS,0.0368878319624881
0,PLS,0.0476360374656251
0,PLS,0.0551861800580903
0,PLS,0.0484375402769515
0,PLS,0.052566498834054
0,PLS,0.0738760853473887
0,PLS,0.0665370450139516
0,PLS,0.0562906868255248
0,PLS,0.0433611430666394
0,PLS,0.0476021879378824
0,PLS,0.0590562504278922
0,PLS,0.0965694163982884
0,PLS,0.100771808803127
0,PLS,0.0329131848234722
0,PLS,0.06735074673195
0,PLS,0.0563890514394623
0,PLS,0.0438386288158904
0,PLS,0.0531349811541115
0,PLS,0.03344775818404
0,PLS,0.0552997382776601
0,PLS,0.0651933360255173
0,PLS,0.0604729167163468
0,PLS,0.0440347972166105
0,PLS,0.077748987956842
0,PLS,0.0566135666459265
0,PLS,0.0769901274016718
0,PLS,0.0854934051009817
0,PLS,0.0275920625069735
0,PLS,0.0599400405395723
0,PLS,0.0474147111941348
0,PLS,0.0803819095362997
0,PLS,0.0515124739422233
0,PLS,0.054021361891487
0,PLS,0.0440502489392941
0,PLS,0.0432122712875665
0,PLS,0.0661769927846968
0,PLS,0.0512145825411733
0,PLS,0.0463474873376268
0,PLS,0.0558757387314999
0,PLS,0.0927891088431199
0,PLS,0.0623346987203937
0,PLS,0.0659662337644809
0,PLS,0.0452080974286914
0,PLS,0.0615085491448012
0,PLS,0.0646857393945311
0,PLS,0.0749112255009176
0,PLS,0.0671651935516508
0,PLS,0.0548456508959619
0,PLS,0.0484680997333606
0,PLS,0.0902496463546228
0,PLS,0.0567779291604452
0,PLS,0.0637672787547397
0,PLS,0.0582705743078417
0,PLS,0.0518175888983382
0,PLS,0.0496316847567993
0,PLS,0.0529310010251557
0,PLS,0.102871553906773
0,PLS,0.0597182510405515
0,PLS,0.040152013259742
0,PLS,0.0451654232099509
0,PLS,0.05097130418596
0,PLS,0.0978620123993508
0,PLS,0.0541146942469919
0,PLS,0.067399702264133
0,PLS,0.0736459228997109
0,PLS,0.0667522189331719
0,PLS,0.0866940463944017
0,PLS,0.116311957990151
0,PLS,0.0331392507831614
0,PLS,0.0699235275513945
0,PLS,0.063214222044356
0,PLS,0.0448249415308028
0,PLS,0.0631985701993818
0,PLS,0.0728766359074471
0,PLS,0.104012496550287
0,PLS,0.0541693410725475
0,PLS,0.059774362565092
0,PLS,0.0571871239652841
0,PLS,0.0333811597632417
0,PLS,0.0768061400774129
0,PLS,0.042358562402678
0,PLS,0.0525951767737834
0,PLS,0.0508098060197291
0,PLS,0.0662922026150549
0,PLS,0.0643223171353058
0,PLS,0.0842369606012476
0,PLS,0.0650324796896118
0,PLS,0.0349619288952815
0,PLS,0.0583394413805789
0,PLS,0.0480526105612964
0,PLS,0.04721874869598
0,PLS,0.0850413445397524
0,PLS,0.0691556240828518
0,PLS,0.0464150108786825
0,PLS,0.0958761106014914
0,PLS,0.0841483313563357
0,PLS,0.0682921206092909
0,PLS,0.0741982599236545
0,PLS,0.056938055758233
0,PLS,0.0838706843911078
0,PLS,0.0663079370213315
0,PLS,0.0658235158806132
0,PLS,0.042598893513518
0,PLS,0.0862226593907045
0,PLS,0.053008099901823
0,PLS,0.0605425849472934
0,PLS,0.0530086701036922
0,PLS,0.0523490297511585
0,PLS,0.0579965846880751
0,PLS,0.0888232130631177
0,PLS,0.0640913783006637
0,PLS,0.0319220146902415
0,PLS,0.0570560350143559
0,PLS,0.0738625550012032
0,PLS,0.115877117448244
0,PLS,0.0678132556671383
0,PLS,0.043471823595989
0,PLS,0.0535081674765295
0,PLS,0.0755647392871614
0,PLS,0.05136472563395
0,PLS,0.0817262019049407
0,PLS,0.0683895852768425
0,PLS,0.0549752722882059
0,PLS,0.0552164619922492
0,PLS,0.0573592419624296
0,PLS,0.0606356892481862
0,PLS,0.0408626483288497
0,PLS,0.0543147033267642
0,PLS,0.052708365157776
0,PLS,0.101902654512164
0,PLS,0.0594056117702585
0,PLS,0.064296522986319
0,PLS,0.0665318041613984
0,PLS,0.0725079242870326
