rho,methods,PE_value
0,PLS,0.101038433659599
0,PLS,0.073289363132613
0,PLS,0.0846401453096399
0,PLS,0.0377176688929333
0,PLS,0.0759716368537695
0,PLS,0.0853113866304589
0,PLS,0.0915562006371491
0,PLS,0.0892533918931675
0,PLS,0.0665618566317532
0,PLS,0.123100369317733
0,PLS,0.0576493623877754
0,PLS,0.046334938560513
0,PLS,0.0413405262920032
0,PLS,0.0109142130017126
0,PLS,0.0990516363218854
0,PLS,0.0515113892641357
0,PLS,0.0934800224838841
0,PLS,0.0337761163866319
0,PLS,0.08479393484714
0,PLS,0.087234901720973
0,PLS,0.11539048751622
0,PLS,0.0574528723224874
0,PLS,0.0431139926733737
0,PLS,0.0686037603678655
0,PLS,0.0634445941114523
0,PLS,0.0409215851646869
0,PLS,0.0706706015714726
0,PLS,0.0296004151607694
0,PLS,0.0431739058511331
0,PLS,0.0665983298746553
0,PLS,0.0878834454936297
0,PLS,0.0472034246912949
0,PLS,0.0546532480055992
0,PLS,0.0506758844528015
0,PLS,0.109137979821295
0,PLS,0.0824448733684517
0,PLS,0.0665912468319996
0,PLS,0.0748962507890079
0,PLS,0.0505655842619122
0,PLS,0.0720778338387755
0,PLS,0.078521723006675
0,PLS,0.0811944618920111
0,PLS,0.0275463459854854
0,PLS,0.0598050577246549
0,PLS,0.0686216542388893
0,PLS,0.0572746039701362
0,PLS,0.0185726740952084
0,PLS,0.108766782738477
0,PLS,0.0859701291093395
0,PLS,0.0946562211938546
0,PLS,-0.0178124803940723
0,PLS,0.00859308485423216
0,PLS,0.0635276363784165
0,PLS,0.0362376908971458
0,PLS,0.0626027189093921
0,PLS,0.0673859795619671
0,PLS,0.123098376660846
0,PLS,0.049800493880956
0,PLS,0.0896702498680035
0,PLS,0.0704561890372304
0,PLS,0.0712429385527433
0,PLS,0.0407734273442388
0,PLS,0.0558281451282305
0,PLS,0.0897382654050118
0,PLS,0.0794361811585083
0,PLS,0.0837888826923763
0,PLS,0.0864621283405023
0,PLS,0.108467508603487
0,PLS,0.0984976168823233
0,PLS,0.0569593211519146
0,PLS,0.0431809222518587
0,PLS,0.0915310504021263
0,PLS,0.0654951738521379
0,PLS,0.0845222460092996
0,PLS,0.0584894292807732
0,PLS,0.0548270561385886
0,PLS,0.0838080009252735
0,PLS,0.0665642112859481
0,PLS,0.0841991269065177
0,PLS,0.0538111047518159
0,PLS,0.138882094967854
0,PLS,0.0612198570556497
0,PLS,0.0500658490642425
0,PLS,0.107457951774754
0,PLS,0.0702553131074912
0,PLS,0.0967827175627338
0,PLS,0.0150316711286245
0,PLS,0.102537883299997
0,PLS,0.0799184283885228
0,PLS,0.0280323392097064
0,PLS,0.0639220031852217
0,PLS,0.0221409087091209
0,PLS,0.0582052921459717
0,PLS,0.0777992091828537
0,PLS,0.100560866838667
0,PLS,0.0421986904292537
0,PLS,0.0688980928220828
0,PLS,0.0378688765133233
0,PLS,0.0982491136864911
0,PLS,0.0665098102760016
0,PLS,-0.00275977126336846
0,PLS,0.0802646879154925
0,PLS,0.0595008614086558
0,PLS,0.040500957131385
0,PLS,0.0587912323988773
0,PLS,0.0411639708117713
0,PLS,0.0456464658198397
0,PLS,0.114644970240497
0,PLS,0.11438158467006
0,PLS,0.0474756654216379
0,PLS,0.0498303456401741
0,PLS,0.0967678554716305
0,PLS,0.104482796015659
0,PLS,0.113065759479566
0,PLS,0.0790266077511901
