"","sn","PSRf","NSRf","PSRs","NSRs","MSEf_mean","MSEf_sd","MSEs_mean","MSEs_sd","PE_mean","PE_sd"
"1",1,1,0.9290625,1,0.882674418604651,3.95011477428143,0.348817044084691,0.115862339546237,0.113346713248361,0.96256666541253,0.134501861929283
"2",2,1,0.980625,1,0.941162790697674,1.39207685149159,0.195740688805406,0.0333731570534983,0.0173484498206472,0.19772105674347,0.0499766566780904
"3",3,1,0.9909375,1,0.949186046511628,0.786093028866787,0.133678592684642,0.026817728090164,0.0145898096157696,0.123317670439541,0.0381255129661092
"4",4,1,0.994375,1,0.948488372093023,0.108174462328022,0.0433137013654698,0.0249983169300653,0.0131597792290639,0.0730305782097155,0.0344569987384143
"5",5,1,0.994375,1,0.945116279069767,0.14832708511202,0.0642669921029285,0.0254690689088587,0.0132896512222903,0.0753363399998423,0.0351684214177823
"6",6,1,0.9978125,1,0.947209302325581,0.212654264047095,0.0880747038749493,0.0255050629763511,0.0132491367496714,0.0776304233269108,0.035037765411293
"7",7,1,0.99875,1,0.946395348837209,0.312894764538602,0.114292994973077,0.0255564175603533,0.0134662076934416,0.0804299998886831,0.0351227508275412
"8",8,1,0.9996875,1,0.945697674418605,0.439546855336811,0.160741814423352,0.0257368505641859,0.0136649180539833,0.0827459052626718,0.0353131460878419
"9",10,1,1,1,0.946511627906977,0.872412934447169,0.268403035320804,0.0257885090617559,0.013580990183167,0.0874286626510345,0.0357058173875616
"10",12,1,1,1,0.944302325581395,1.63304317722198,0.519662218376736,0.0262602060864849,0.0140781261745202,0.0919099985603659,0.0352334560404158
"11",15,1,1,1,0.943837209302326,3.7021475729267,1.15755356388734,0.0266059781475347,0.0143419774114426,0.0978444955904818,0.0366286468059427
"12",16,1,1,1,0.944651162790698,4.78703976646393,1.38560669192287,0.0263790401145382,0.0140944192108257,0.100664894616844,0.0368097393618321
"13",18,1,1,1,0.943953488372093,7.98718281506876,2.32588114678437,0.0263657665406318,0.0141493272131313,0.107047228303306,0.0380198375985536
"14",20,1,1,1,0.945232558139535,13.2789498904543,3.9463465021487,0.0266179625470736,0.0144828022803848,0.115520875880267,0.0412193910340298
"15",3.5025,1,1,1,0.956744186046512,0.103536112398167,0.041412814511137,0.0260782375084152,0.0138521292070371,0.0726667668275181,0.0342490880410723
