,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,1,1,0.95,0.209486356370907,0.141255697440948,0.0577659439884967,0.0303220373311981,0.0898010491198285,0.0343909464552445
2,0.1,1,1,1,0.948488372093023,0.214461933547804,0.144491602459263,0.0564592694379053,0.0367086471209466,0.0900961905697837,0.0334742260423673
3,0.2,1,1,1,0.952093023255814,0.212641169385757,0.127758419782707,0.0512326343607745,0.0284575848808519,0.0855232342927007,0.033056019264556
4,0.3,1,1,1,0.949418604651163,0.230632199191425,0.181805360227499,0.0585566611098182,0.0372995730403511,0.0915340027527888,0.0438050553422167
5,0.4,1,0.999375,1,0.948604651162791,0.243175524548425,0.191224113268486,0.0597303546763745,0.032133618981726,0.088954336309195,0.0393134636249842
6,0.5,1,1,1,0.941162790697674,0.212106256693026,0.142095862781804,0.0626475218607286,0.0404753965414135,0.0829827899448068,0.0469222696408099
7,0.6,1,1,1,0.952093023255814,0.239151698426167,0.215638182229867,0.0545866332012328,0.0383763823501293,0.0861743004415866,0.0536521423585189
8,0.7,1,0.9996875,1,0.945116279069767,0.292933488994864,0.264224175547434,0.0573891371622637,0.0368033856266415,0.0917858090265558,0.057992832263789
9,0.8,1,1,1,0.952093023255814,0.252605374935054,0.225641390419849,0.0567661946466248,0.0360073895504437,0.0906497103917923,0.0530256021444511
10,0.9,1,1,1,0.950116279069767,0.258259789092,0.237489199090252,0.0593624700173014,0.0426440007099231,0.0968536544486893,0.0637262319254487
