rho,methods,MSEs_value
0,PLS,0.0118225094960579
0,PLS,0.0681183569607828
0,PLS,0.0343748719923668
0,PLS,0.0382209595885553
0,PLS,0.079419854538999
0,PLS,0.0395648066921528
0,PLS,0.103997575965773
0,PLS,0.0351347072259695
0,PLS,0.0710719941365387
0,PLS,0.0759887797427537
0,PLS,0.0654859869228612
0,PLS,0.0352476608871779
0,PLS,0.0498494168663386
0,PLS,0.068550125881743
0,PLS,0.0477610374392092
0,PLS,0.0851535411585329
0,PLS,0.0425060006639547
0,PLS,0.0849191841078574
0,PLS,0.0335189107198048
0,PLS,0.0438850652416739
0,PLS,0.0521931382563449
0,PLS,0.0783083713950728
0,PLS,0.0478704836979548
0,PLS,0.0301768768652388
0,PLS,0.0178439504222726
0,PLS,0.0326530909839036
0,PLS,0.0459365859870105
0,PLS,0.0570145947944233
0,PLS,0.0293692119707717
0,PLS,0.0168005845492108
0,PLS,0.033410269944201
0,PLS,0.0236353479737505
0,PLS,0.098236369143994
0,PLS,0.0366594427637504
0,PLS,0.114331572031289
0,PLS,0.057572340986058
0,PLS,0.0564958752690935
0,PLS,0.0302490522501399
0,PLS,0.0677727074897318
0,PLS,0.0560592042542986
0,PLS,0.0167084558056519
0,PLS,0.0554202271694746
0,PLS,0.058969392394009
0,PLS,0.0335720007339083
0,PLS,0.0180151564676605
0,PLS,0.0649312255426431
0,PLS,0.0451828578668544
0,PLS,0.0472085857624155
0,PLS,0.0703485826970288
0,PLS,0.051255327244849
0,PLS,0.0225558708754635
0,PLS,0.0908423391545019
0,PLS,0.0777749186974433
0,PLS,0.093445178450188
0,PLS,0.0294650484956233
0,PLS,0.0183347254574948
0,PLS,0.0207829324633315
0,PLS,0.0380897429512997
0,PLS,0.0121933955239775
0,PLS,0.0293184073188252
0,PLS,0.0953205950856613
0,PLS,0.016387288538316
0,PLS,0.0183636130525723
0,PLS,0.0502092902219271
0,PLS,0.0409165912560051
0,PLS,0.0501643211496245
0,PLS,0.0602941297393661
0,PLS,0.0920008986959019
0,PLS,0.029471132416795
0,PLS,0.0462220089142851
0,PLS,0.0845520367435235
0,PLS,0.0607238069899751
0,PLS,0.046509075280541
0,PLS,0.0480890054878232
0,PLS,0.0271346246088447
0,PLS,0.0159710186239233
0,PLS,0.0347851565237476
0,PLS,0.0242875502376815
0,PLS,0.0603752776036218
0,PLS,0.108990087108621
0,PLS,0.0281363662011974
0,PLS,0.0498244519507662
0,PLS,0.0387950079023411
0,PLS,0.0981322719446668
0,PLS,0.0247523809310887
0,PLS,0.0411273000148212
0,PLS,0.0435935989349905
0,PLS,0.0489578245411324
0,PLS,0.100463648441795
0,PLS,0.0743947858271149
0,PLS,0.0722358766247827
0,PLS,0.195874664109133
0,PLS,0.0512047372596613
0,PLS,0.0561030429720584
0,PLS,0.039062229651621
0,PLS,0.15695861085279
0,PLS,0.0665907669627654
0,PLS,0.0294212747944533
0,PLS,0.00985282077303487
0,PLS,0.073504654733098
0,PLS,0.0485204058173195
0,PLS,0.0694914022887735
0,PLS,0.0078537950830099
0,PLS,0.0417345092013277
0,PLS,0.0916962256663357
0,PLS,0.026406240593505
0,PLS,0.0419174328838093
0,PLS,0.055358027700818
0,PLS,0.0603811561182145
0,PLS,0.0921915313058544
0,PLS,0.0136405864415207
0,PLS,0.0424452401214412
0,PLS,0.00980243050271484
0,PLS,0.0254218038353034
0,PLS,0.0498158928512214
0,PLS,0.0285474870532737
0,PLS,0.0617686993095872
0,PLS,0.0684147810039057
0,PLS,0.0192472488134106
0,PLS,0.0491069705306405
0,PLS,0.112303555072113
0,PLS,0.0642562419822608
0,PLS,0.0454969987591825
0,PLS,0.0562101232255618
0,PLS,0.0449868908612051
0,PLS,0.128005243899919
0,PLS,0.0684644337243346
0,PLS,0.0432088142391518
0,PLS,0.0898509810247759
0,PLS,0.0660845267971683
0,PLS,0.0373121071818319
0,PLS,0.0162395541797707
0,PLS,0.017796039825829
0,PLS,0.0553008885969655
0,PLS,0.025886586865972
0,PLS,0.0717260908107449
0,PLS,0.0494789638281475
0,PLS,0.0421699682178294
0,PLS,0.0792177402908496
0,PLS,0.0469390532184484
0,PLS,0.067125224718088
0,PLS,0.0236722277391204
0,PLS,0.0620529659102407
0,PLS,0.0665412067058491
0,PLS,0.0315503094158025
0,PLS,0.00823095902253867
0,PLS,0.0655163366121102
0,PLS,0.0708581297876039
0,PLS,0.155416600976823
0,PLS,0.0406493013522603
0,PLS,0.0346636208391514
0,PLS,0.0336068554005526
0,PLS,0.075150385420629
0,PLS,0.0647378728388393
0,PLS,0.0289511758162197
0,PLS,0.110149345167912
0,PLS,0.0640611065823058
0,PLS,0.0505996161193846
0,PLS,0.115850914560126
0,PLS,0.0403501539128439
0,PLS,0.0285529142500747
0,PLS,0.0178901461354121
0,PLS,0.0518301256381223
0,PLS,0.0614638294605577
0,PLS,0.0956376101905833
0,PLS,0.0203814424459354
0,PLS,0.0772928722645528
0,PLS,0.0291338574462589
0,PLS,0.0480318743917773
0,PLS,0.0232515091701074
0,PLS,0.0311743056462398
0,PLS,0.0395802011738004
0,PLS,0.011047719477918
0,PLS,0.09369186760244
0,PLS,0.017225322656611
0,PLS,0.0507564095767573
0,PLS,0.0260923649737777
0,PLS,0.0259504904726317
0,PLS,0.0374592158454279
0,PLS,0.0554786701662913
0,PLS,0.109539021709944
0,PLS,0.0413820051631238
0,PLS,0.0500088531056629
0,PLS,0.0102285795839793
0,PLS,0.118873593750703
0,PLS,0.0812514892400532
0,PLS,0.0343135313709566
0,PLS,0.0649251008825008
0,PLS,0.0831167926158038
0,PLS,0.049955616176411
0,PLS,0.0425533630298244
0,PLS,0.04529150139013
0,PLS,0.0647274604604706
0,PLS,0.0283874569911879
0,PLS,0.0426646031288256
0,PLS,0.0436029761407784
0,PLS,0.0437237201234982
0,PLS,0.0143861171870289
0,PLS,0.0325370690800588
0,PLS,0.102705800010825
0,fTS,0.0118181240020219
0,fTS,0.0685158134280179
0,fTS,0.0342641708400519
0,fTS,0.0375306115353977
0,fTS,0.0808067859104236
0,fTS,0.0395752328377973
0,fTS,0.10540018944685
0,fTS,0.0362229016221183
0,fTS,0.0711705439547175
0,fTS,0.0772236489585219
0,fTS,0.232345255067096
0,fTS,0.0347165429185548
0,fTS,0.0498494168663386
0,fTS,0.0730522825359878
0,fTS,0.0477644688365837
0,fTS,0.0883416164156188
0,fTS,0.0425060006639547
0,fTS,0.0849191841078574
0,fTS,0.0265560849629181
0,fTS,0.0437894838969794
0,fTS,0.0528926969508162
0,fTS,0.082984537638224
0,fTS,0.0476584808472316
0,fTS,0.0275683135994235
0,fTS,0.0179167161303245
0,fTS,0.0329774723911782
0,fTS,0.0459365859870105
0,fTS,0.0570145947944233
0,fTS,0.0284128695401626
0,fTS,0.0167287023504037
0,fTS,0.0329558858501849
0,fTS,0.0260933095609158
0,fTS,0.0535000933160923
0,fTS,0.0378214241375079
0,fTS,0.112828303588387
0,fTS,0.057572340986058
0,fTS,0.0564958752690935
0,fTS,0.0304992176669453
0,fTS,0.0635619742272956
0,fTS,0.0584220735031407
0,fTS,0.0189417836366438
0,fTS,0.0554202271694746
0,fTS,0.0592113058929557
0,fTS,0.0335877682208774
0,fTS,0.0178636522260131
0,fTS,0.0649312255426431
0,fTS,0.0446377799060425
0,fTS,0.0472085857624155
0,fTS,0.069208220863332
0,fTS,0.0513863122590547
0,fTS,0.0225558708754635
0,fTS,0.0930901225414612
0,fTS,0.0777749186974433
0,fTS,0.093445178450188
0,fTS,0.0294650484956233
0,fTS,0.0179239775709602
0,fTS,0.0207551226346304
0,fTS,0.0333330749135786
0,fTS,0.0122505758105993
0,fTS,0.0290344252413558
0,fTS,0.0977629229540482
0,fTS,0.017690987837791
0,fTS,0.016802547819461
0,fTS,0.0502092902219271
0,fTS,0.0407801320483645
0,fTS,0.050112992985599
0,fTS,0.0598473816117106
0,fTS,0.0921442055818499
0,fTS,0.0294660427426969
0,fTS,0.0462220089142851
0,fTS,0.0845520367435235
0,fTS,0.0613563847679181
0,fTS,0.0640981866867776
0,fTS,0.0480890054878232
0,fTS,0.0278150755118095
0,fTS,0.0160698267628141
0,fTS,0.0347351118050218
0,fTS,0.0227701859073292
0,fTS,0.0596888882653833
0,fTS,0.108910121210531
0,fTS,0.0284145928316914
0,fTS,0.0497856786915679
0,fTS,0.0392557422618274
0,fTS,0.097824621882542
0,fTS,0.0247497436128136
0,fTS,0.0407766304864588
0,fTS,0.0433407032317829
0,fTS,0.0493993597454702
0,fTS,0.100463648441795
0,fTS,0.070844658317653
0,fTS,0.0722662278570728
0,fTS,0.206710659362472
0,fTS,0.0487835062808542
0,fTS,0.0555741896393308
0,fTS,0.0393157876117356
0,fTS,0.15695861085279
0,fTS,0.0665907669627654
0,fTS,0.0296387722238783
0,fTS,0.00984941982014105
0,fTS,0.0716213785255782
0,fTS,0.0485204058173195
0,fTS,0.0694886926870644
0,fTS,0.00768428510208936
0,fTS,0.0417452461611368
0,fTS,0.0918403774544805
0,fTS,0.0264060393830439
0,fTS,0.0425763008743329
0,fTS,0.0553734696216158
0,fTS,0.0641532754765128
0,fTS,0.0905811873917967
0,fTS,0.0136405864415206
0,fTS,0.0427174261917928
0,fTS,0.00975767859901161
0,fTS,0.0253744712128931
0,fTS,0.0509634842575704
0,fTS,0.0285474870532737
0,fTS,0.061801209088689
0,fTS,0.0684147413525596
0,fTS,0.0193154075878777
0,fTS,0.0436785948645572
0,fTS,0.112303555072113
0,fTS,0.0643479021206284
0,fTS,0.0463588962237117
0,fTS,0.0555376856486088
0,fTS,0.0449868908612051
0,fTS,0.126193628644863
0,fTS,0.0683859127115077
0,fTS,0.0434985008151421
0,fTS,0.0854074733706394
0,fTS,0.0656249295197827
0,fTS,0.0381167911799528
0,fTS,0.0160039561091416
0,fTS,0.0178902481090274
0,fTS,0.0578705678552704
0,fTS,0.0259140330825969
0,fTS,0.0717371997502149
0,fTS,0.0478617244233189
0,fTS,0.0417765042209972
0,fTS,0.0792859043704611
0,fTS,0.0469390532184484
0,fTS,0.0659528963755192
0,fTS,0.0235926192378885
0,fTS,0.0633307837713598
0,fTS,0.0634316779976545
0,fTS,0.0312879670633425
0,fTS,0.00678791172815832
0,fTS,0.0655212629870134
0,fTS,0.0708581297876039
0,fTS,0.155416600976823
0,fTS,0.0406323275900544
0,fTS,0.0347761140706254
0,fTS,0.0352647156528606
0,fTS,0.0735965116596885
0,fTS,0.0647901782845432
0,fTS,0.0289549521288387
0,fTS,0.134834151271185
0,fTS,0.0620583562227459
0,fTS,0.0509237000925394
0,fTS,0.115850914560126
0,fTS,0.0403524834977718
0,fTS,0.0285529142500747
0,fTS,0.0178847857266066
0,fTS,0.0560046841336791
0,fTS,0.0615494551740224
0,fTS,0.095978808466839
0,fTS,0.0181260943733683
0,fTS,0.0722525316850104
0,fTS,0.0300004780776655
0,fTS,0.0480485355353352
0,fTS,0.0214100700213042
0,fTS,0.029961997474033
0,fTS,0.0395802011738004
0,fTS,0.0110415219814929
0,fTS,0.0890052506277999
0,fTS,0.017225322656611
0,fTS,0.0503781155838212
0,fTS,0.0265037000899892
0,fTS,0.0259904515256613
0,fTS,0.0377521475712752
0,fTS,0.0548982455161726
0,fTS,0.11029608534056
0,fTS,0.0413820051631238
0,fTS,0.0499187731955944
0,fTS,0.0102441655877319
0,fTS,0.118822018799558
0,fTS,0.0529695277566969
0,fTS,0.0343135313709566
0,fTS,0.0650108230424426
0,fTS,0.0829499999500688
0,fTS,0.0502840663188324
0,fTS,0.0427928006952789
0,fTS,0.0458734436217969
0,fTS,0.0651233345904029
0,fTS,0.0273458270384469
0,fTS,0.0401671195012634
0,fTS,0.0433559652263241
0,fTS,0.0431428749446447
0,fTS,0.0135978136830423
0,fTS,0.033034256467265
0,fTS,0.102337346012967
0,LS_oracle,0.0118027121272749
0,LS_oracle,0.0374434098498682
0,LS_oracle,0.0188439347629724
0,LS_oracle,0.0352683584613
0,LS_oracle,0.0511288375911938
0,LS_oracle,0.0395351526622828
0,LS_oracle,0.0535719065262419
0,LS_oracle,0.0248246585927113
0,LS_oracle,0.0562347412299996
0,LS_oracle,0.0558458720759337
0,LS_oracle,0.0273939027274805
0,LS_oracle,0.0291689411945151
0,LS_oracle,0.0170372555330234
0,LS_oracle,0.0696456435707349
0,LS_oracle,0.0903586089010171
0,LS_oracle,0.0658444044834392
0,LS_oracle,0.0482895455404554
0,LS_oracle,0.0696734646887828
0,LS_oracle,0.029108409638886
0,LS_oracle,0.042184314869364
0,LS_oracle,0.0265173138995692
0,LS_oracle,0.0723422741195106
0,LS_oracle,0.0413369480232326
0,LS_oracle,0.0482363432744889
0,LS_oracle,0.0136673816832565
0,LS_oracle,0.0141226572771203
0,LS_oracle,0.0362487109602399
0,LS_oracle,0.0494493648786999
