rho,methods,PE_value
0,PLS,0.104115180815717
0,PLS,0.0200672992456545
0,PLS,0.121309940273769
0,PLS,0.083801016380125
0,PLS,0.0743665445613499
0,PLS,0.0149284124496205
0,PLS,0.0908383100704624
0,PLS,0.12401215196598
0,PLS,0.115833657005598
0,PLS,0.0810221832128577
0,PLS,0.0723899939799986
0,PLS,0.0542739863474757
0,PLS,0.0554150998865797
0,PLS,0.0920040742984816
0,PLS,0.12044243066588
0,PLS,0.0904518616406473
0,PLS,0.0490134065775405
0,PLS,0.106730397622093
0,PLS,0.0869774395831648
0,PLS,0.09022670234202
0,PLS,0.0621692171125126
0,PLS,0.131790349097578
0,PLS,0.0774044858855927
0,PLS,0.0748307291376924
0,PLS,0.0766247826250948
0,PLS,0.0362255108317664
0,PLS,0.120634545470026
0,PLS,0.0834301642763586
0,PLS,0.119751380829205
0,PLS,0.0700728131049861
0,PLS,0.0479988137245253
0,PLS,0.0560303873191976
0,PLS,0.109689478682071
0,PLS,0.0249671781424925
0,PLS,0.0659593023251037
0,PLS,0.0849916233842882
0,PLS,0.0914371028818335
0,PLS,0.070975018670455
0,PLS,0.0995007649002304
0,PLS,0.0848052636332486
0,PLS,0.0441528058204514
0,PLS,0.118184785613122
0,PLS,0.0635354616275063
0,PLS,0.106741063790936
0,PLS,0.133955863706082
0,PLS,0.174545013324507
0,PLS,0.0609064525029428
0,PLS,0.10924643628525
0,PLS,0.11178559607036
0,PLS,0.0756221629514686
0,PLS,0.0582114216187675
0,PLS,0.107408444595528
0,PLS,0.0996631000278698
0,PLS,0.10899618290063
0,PLS,0.0656604212336593
0,PLS,0.0870625001986236
0,PLS,0.0665471385240222
0,PLS,0.150636167410364
0,PLS,0.0553309324259714
0,PLS,0.135942426791066
0,PLS,0.0287879602540488
0,PLS,0.112142275126583
0,PLS,0.0432544311292449
0,PLS,0.0457459306057904
0,PLS,0.153832916718827
0,PLS,0.135018959234195
0,PLS,0.0732632517768848
0,PLS,0.0850318623318662
0,PLS,0.146912652292012
0,PLS,0.0949908238601824
0,PLS,0.0483018610630197
0,PLS,0.0961521963469543
0,PLS,0.0532725771938829
0,PLS,0.102809733534036
0,PLS,0.0607363808167043
0,PLS,0.103013874199626
0,PLS,0.0906498230671819
0,PLS,0.0522369540980681
0,PLS,0.0789598425098044
0,PLS,0.0968368400435013
0,PLS,0.112465185951194
0,PLS,0.132059588617522
0,PLS,0.134086893700473
0,PLS,0.0928407221708454
0,PLS,0.0987541168831634
0,PLS,0.0901255483467498
0,PLS,0.0852922508778757
0,PLS,0.0486797660070035
0,PLS,0.0747193428615673
0,PLS,0.0541008168754993
0,PLS,0.0832661050177548
0,PLS,0.152166248531642
0,PLS,0.111586986882567
0,PLS,0.093863040433098
0,PLS,0.185657842090144
0,PLS,0.0900294220977278
0,PLS,0.164144799978499
0,PLS,0.123870304657035
0,PLS,0.0971725421713117
0,PLS,0.0828206483653642
0,PLS,0.0587387907327017
0,PLS,0.115320235066265
0,PLS,0.0677444188608685
0,PLS,0.0777587019353621
0,PLS,0.0680791264569311
0,PLS,0.120391166000857
0,PLS,0.124107865040233
0,PLS,0.104559709960021
0,PLS,0.0655091435044159
0,PLS,0.139887365232874
0,PLS,0.134106435993514
0,PLS,0.1119246411849
0,PLS,0.165030347555947
0,PLS,0.123408365499668
0,PLS,0.0506979470610955
0,PLS,0.167055648330505
0,PLS,0.122911681399604
0,PLS,0.127435955057672
0,PLS,0.0984959924987874
0,PLS,0.100762031947903
0,PLS,0.120620945039412
0,PLS,0.104728903047183
0,PLS,0.00418948842775113
0,PLS,0.12712949063941
0,PLS,0.0377004054998937
0,PLS,0.0766064692616826
0,PLS,0.175961491177611
0,PLS,0.12364770540816
0,PLS,0.116753763673428
0,PLS,0.100850028728967
0,PLS,0.106153809775889
0,PLS,0.0218990489805866
0,PLS,0.105006073786352
0,PLS,0.0599161772081493
0,PLS,0.0632865414888752
0,PLS,0.0932082581590512
0,PLS,0.0527381295494018
0,PLS,0.0713503126061059
0,PLS,0.0700745976480397
0,PLS,0.0608924020468486
0,PLS,0.0779784611672372
0,PLS,0.111806350239996
0,PLS,0.0968740434343491
0,PLS,0.118951192283325
0,PLS,0.0623407807618543
0,PLS,0.0641477038438811
0,PLS,0.0783513888244025
0,PLS,0.0632132960343708
0,PLS,0.163453711840222
0,PLS,0.0393304457713066
0,PLS,0.0449965490816435
0,PLS,0.0616586432712443
0,PLS,0.084033395172419
0,PLS,0.0899438297366617
0,PLS,0.110013343048227
0,PLS,0.059078540209724
0,PLS,0.0799954330224844
0,PLS,0.0971006360634774
0,PLS,0.107813437945168
0,PLS,0.0545429334433523
0,PLS,0.0546469514872399
0,PLS,0.103292227481805
0,PLS,0.0660713905269328
0,PLS,0.151515154571873
0,PLS,0.0778365054811605
0,PLS,0.127322520244619
0,PLS,0.083034877315717
0,PLS,0.078918685105547
0,PLS,0.0625812095752263
0,PLS,0.114977257403448
0,PLS,0.0855218499664021
0,PLS,0.148527209434775
0,PLS,0.0865034570713437
0,PLS,0.0461640792497697
0,PLS,0.0873988137119079
0,PLS,0.104510348924053
0,PLS,0.0727872902737001
0,PLS,0.0282283720152086
0,PLS,0.059132689628357
0,PLS,0.0514686744742874
0,PLS,0.125315858367059
0,PLS,0.0643791146685506
0,PLS,0.144142865855642
0,PLS,0.0847243281629404
0,PLS,0.0733433640091539
0,PLS,0.0932434713185455
0,PLS,0.0134960671383466
0,PLS,0.0499344470553456
0,PLS,0.0890666114611378
0,PLS,0.136285088338725
0,PLS,0.0945986774284462
0,PLS,0.0914917577201599
0,PLS,0.0472447799504776
0,PLS,0.141864117720668
0,PLS,0.131308892163837
0,PLS,0.035830610194949
0,PLS,0.0897275473492991
0,PLS,0.0957503717455881
0,PLS,0.104718292110642
0,PLS,0.079743573496698
0,fTS,0.104242574963298
0,fTS,0.0198448312990647
0,fTS,0.121309940273769
0,fTS,0.0835871111876068
0,fTS,0.0742571407202768
0,fTS,0.0149284124496205
0,fTS,0.0907745822733663
0,fTS,0.123985272617783
0,fTS,0.118564526853318
0,fTS,0.0810221832128575
0,fTS,0.0712490718447878
0,fTS,0.053857930182132
0,fTS,0.0552105169018651
0,fTS,0.0917039505166961
0,fTS,0.120516796234795
0,fTS,0.0904315614875264
0,fTS,0.0490134065775405
0,fTS,0.106925898758789
0,fTS,0.0870458820523785
0,fTS,0.0898927806528327
0,fTS,0.0622172866807651
0,fTS,0.132832254459443
0,fTS,0.0773610710248613
0,fTS,0.0759736466805572
0,fTS,0.076932943735512
0,fTS,0.0360975267414847
0,fTS,0.120668328873135
0,fTS,0.0841453874176772
0,fTS,0.119777011095534
0,fTS,0.0703241308986398
0,fTS,0.048600835856649
0,fTS,0.0584842058395176
0,fTS,0.109509177236407
0,fTS,0.0249681170758727
0,fTS,0.0659468022843352
0,fTS,0.085060371957475
0,fTS,0.090905902592443
0,fTS,0.0710610234493867
0,fTS,0.0984068494130328
0,fTS,0.0848052636332486
0,fTS,0.0441876671937838
0,fTS,0.11820570247059
0,fTS,0.0635354616275063
0,fTS,0.106741063790936
0,fTS,0.133955863706082
0,fTS,0.174616664509947
0,fTS,0.0607947619616682
0,fTS,0.108972505489204
0,fTS,0.11178559607036
0,fTS,0.0756202450028272
0,fTS,0.0589994168990606
0,fTS,0.107407629515603
0,fTS,0.0977799254918006
0,fTS,0.107258276817631
0,fTS,0.0658997658725942
0,fTS,0.087061492012954
0,fTS,0.0665471385240222
0,fTS,0.150970526739624
0,fTS,0.0560421592157883
0,fTS,0.135942426791066
0,fTS,0.0287499340070236
0,fTS,0.112052403914238
0,fTS,0.0432555706522941
0,fTS,0.0457459306057904
0,fTS,0.153833767008037
0,fTS,0.134687150964939
0,fTS,0.0736574788164366
0,fTS,0.0850357874587349
0,fTS,0.146788622907475
0,fTS,0.0955920653349658
0,fTS,0.048334968674423
0,fTS,0.0961009347640189
0,fTS,0.0532826032064675
0,fTS,0.102788996906845
0,fTS,0.0608350865908158
0,fTS,0.103013874199626
0,fTS,0.0906989712885939
0,fTS,0.052207399085874
0,fTS,0.0803057368420765
0,fTS,0.0968368400435013
0,fTS,0.112392589745419
0,fTS,0.132059550057731
0,fTS,0.134079740976526
0,fTS,0.0928407221708454
