,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,1,1,0.94906976744186,0.209347195082364,0.141184243346824,0.057950854093897,0.0308661514027692,0.089805472747927,0.0343958387932795
2,0.1,1,1,1,0.948720930232558,0.212978225593053,0.143577732503446,0.0551340058202193,0.0316393727535246,0.0896701749794721,0.0332821599093879
3,0.2,1,1,1,0.95453488372093,0.211288443675302,0.143626826476163,0.0471425589003826,0.0258769487313557,0.0842891414333492,0.0339634410988401
4,0.3,1,1,1,0.950232558139535,0.224225873989292,0.177010560811455,0.0484359613985456,0.0278497089919731,0.0881639638764475,0.0435857676557102
5,0.4,1,1,1,0.953372093023256,0.218695094104044,0.176635181118619,0.0415078131352094,0.021347190432611,0.0819730829937463,0.0383095690154892
6,0.5,1,1,1,0.949883720930233,0.204753144037154,0.164662315406971,0.0379774841722542,0.0216810990355212,0.0751419319314482,0.046160207054394
7,0.6,1,0.9996875,1,0.950697674418605,0.231150376298679,0.234516360788748,0.0316180283893622,0.017487741321751,0.0775823529872864,0.0523398910920712
8,0.7,1,0.9996875,1,0.956744186046512,0.270011057956916,0.26864807343881,0.0267261142641479,0.0155953936402112,0.0796270439966146,0.0584730160752755
9,0.8,1,1,1,0.960232558139535,0.213088143630465,0.210741010900259,0.019036428201017,0.0123082875058692,0.0754744640300663,0.0513766443227855
10,0.9,1,1,1,0.961279069767442,0.231625252021798,0.249915174669522,0.0131001074394844,0.0119619828033224,0.0823934305695887,0.0599366608057764
