rho,methods,PE_value
0,PLS,0.066458155057878
0,PLS,0.0761401110591451
0,PLS,0.10768871936839
0,PLS,0.100558306626127
0,PLS,0.0675344637124746
0,PLS,0.0314938099709781
0,PLS,0.036249416658795
0,PLS,0.1005068407023
0,PLS,0.0861218365643797
0,PLS,0.0632232958385446
0,PLS,0.0434919533113995
0,PLS,0.0820014434635596
0,PLS,0.000449781247683578
0,PLS,0.0775257800059372
0,PLS,0.0865582337875779
0,PLS,0.0449965776097949
0,PLS,0.0697742528902754
0,PLS,0.0684954870946344
0,PLS,0.0843905205312867
0,PLS,0.0551386364162543
0,PLS,0.0670418523836254
0,PLS,0.0652313328511567
0,PLS,0.102347459402431
0,PLS,0.0290130456973303
0,PLS,0.079362361128815
0,PLS,0.120124946489987
0,PLS,0.117656663410752
0,PLS,0.0601942595596705
0,PLS,0.108299455642164
0,PLS,0.045420407124338
0,PLS,0.0863443865821953
0,PLS,0.0552434971411366
0,PLS,0.0587601395949902
0,PLS,0.0425279584853087
0,PLS,0.0558511611301109
0,PLS,0.0756624601826414
0,PLS,0.146451103211167
0,PLS,0.0802386677197025
0,PLS,0.0316592667856008
0,PLS,0.0739673369392151
0,PLS,0.15864316172024
0,PLS,0.0496945060563203
0,PLS,0.0792718995183166
0,PLS,0.0734592872325477
0,PLS,0.0961359952868746
0,PLS,0.0474843409133843
0,PLS,0.0503453186571952
0,PLS,0.0587919253592259
0,PLS,0.0548268000744176
0,PLS,0.0801986344474157
0,PLS,0.01057431994573
0,PLS,0.0819082202674877
0,PLS,0.0295052428324944
0,PLS,0.0439322085076819
0,PLS,0.100104408810397
0,PLS,0.113106208598899
0,PLS,0.111527063503054
0,PLS,0.0909466738396514
0,PLS,0.0864420446692984
0,PLS,0.0473558950985891
0,PLS,0.0387002478266236
0,PLS,0.0732363109010945
0,PLS,0.0454805555287099
0,PLS,0.163526106679995
0,PLS,0.0528665586055808
0,PLS,0.0879288935463005
0,PLS,0.0711310182173241
0,PLS,0.111344919163704
0,PLS,0.0651453273942544
0,PLS,0.0958888775355864
0,PLS,0.0720907497627736
0,PLS,0.0960011035639963
0,PLS,0.103691158894459
0,PLS,0.110727960038645
0,PLS,0.0843519558861598
0,PLS,0.0217641236800934
0,PLS,0.0719308374050203
0,PLS,0.0836554368854319
0,PLS,0.0507491950776373
0,PLS,0.0562907266458661
0,PLS,0.0962850534644393
0,PLS,0.0851161337224373
0,PLS,0.0750351216023721
0,PLS,0.0944489802839334
0,PLS,0.0623614459820527
0,PLS,0.0237387467878876
0,PLS,0.0902667626114186
0,PLS,0.0652328060478036
0,PLS,0.0450131203701098
0,PLS,0.11055793926611
0,PLS,0.0963264350502528
0,PLS,0.0689603476766136
0,PLS,0.029761593789345
0,PLS,0.0565471376161191
0,PLS,0.090360248742311
0,PLS,0.0440825349093981
0,PLS,0.0532479115527513
0,PLS,0.0101837050953411
0,PLS,0.025299361119971
0,PLS,0.0801514285231542
0,PLS,0.0892525475315855
0,PLS,0.0874470548016968
0,PLS,0.0874663631125638
0,PLS,0.107959707383441
0,PLS,0.116338712008895
0,PLS,0.0640204895109113
0,PLS,0.108172617489539
0,PLS,0.0903792732111779
0,PLS,0.0590861285198863
0,PLS,0.146186493780622
0,PLS,0.0115667152145629
0,PLS,0.0770203373557927
0,PLS,0.115174559222079
0,PLS,0.0597578898702702
0,PLS,0.0709216365497369
0,PLS,0.0169165854793421
0,PLS,0.0645357166112828
0,PLS,0.0322344757070461
0,PLS,0.060134948924639
0,PLS,0.105767443208438
0,PLS,0.068664461678217
0,PLS,0.134794164130507
0,PLS,0.00537956805190043
0,PLS,0.0787231486567097
0,PLS,0.0528321346910658
0,PLS,0.0348960849650146
0,PLS,0.04445341181193
0,PLS,0.0497835916878206
0,PLS,0.0748520215853212
0,PLS,0.0316371984801749
