rho,methods,MSEs_value
0,PLS,0.026101275131979
0,PLS,0.0104782681866957
0,PLS,0.0147341682433433
0,PLS,0.00953913920615812
0,PLS,0.0589399149205432
0,PLS,0.0531984771436702
0,PLS,0.00892323508602867
0,PLS,0.0343915388155427
0,PLS,0.0342912833040761
0,PLS,0.0316267904986298
0,PLS,0.0519824113494411
0,PLS,0.0328210661475836
0,PLS,0.0534802213483253
0,PLS,0.0563698802522275
0,PLS,0.0234866267260921
0,PLS,0.0211783002912995
0,PLS,0.0105417075967453
0,PLS,0.0520393164141086
0,PLS,0.00581954668299888
0,PLS,0.0288735847608861
0,PLS,0.0533496036284204
0,PLS,0.0113466988442141
0,PLS,0.0482725584151914
0,PLS,0.0379143871306961
0,PLS,0.108562470515877
0,PLS,0.0518151461856203
0,PLS,0.0107313773283733
0,PLS,0.0633811742011402
0,PLS,0.0318789092113027
0,PLS,0.0379483577449908
0,PLS,0.0346664774690213
0,PLS,0.0233229569965121
0,PLS,0.0185181122429147
0,PLS,0.040787197148552
0,PLS,0.0902945777277122
0,PLS,0.0438793116013719
0,PLS,0.00983180528735129
0,PLS,0.018666829312742
0,PLS,0.0265936370928649
0,PLS,0.0306726492464931
0,PLS,0.0368267731396452
0,PLS,0.0218605021737598
0,PLS,0.025409662150371
0,PLS,0.0115060137507503
0,PLS,0.0139731725525013
0,PLS,0.0344926429466578
0,PLS,0.0257372786242922
0,PLS,0.0344894784610543
0,PLS,0.0551007247486281
0,PLS,0.045482900531402
0,PLS,0.0691912623195802
0,PLS,0.0218750796244449
0,PLS,0.0546941469794852
0,PLS,0.0619109706262398
0,PLS,0.0455601251443731
0,PLS,0.0232515807519009
0,PLS,0.0426570405887479
0,PLS,0.0532244253723113
0,PLS,0.00897843414850436
0,PLS,0.0323238351787123
0,PLS,0.0323484534448547
0,PLS,0.0654588498173077
0,PLS,0.0051840092724594
0,PLS,0.031944156051406
0,PLS,0.0340720433189529
0,PLS,0.0403848121532888
0,PLS,0.0309073488369724
0,PLS,0.0304957116153057
0,PLS,0.0728166694618347
0,PLS,0.0136358654267846
0,PLS,0.0360541421452807
0,PLS,0.0119437563287364
0,PLS,0.0168658992145402
0,PLS,0.0196152874671215
0,PLS,0.0310225526839064
0,PLS,0.016064197149187
0,PLS,0.0251915418213735
0,PLS,0.028394078707761
0,PLS,0.0367569081736193
0,PLS,0.0410696046158834
0,PLS,0.0579358230306611
0,PLS,0.008827075764664
0,PLS,0.0729888721764472
0,PLS,0.0335159039108584
0,PLS,0.0392981172323633
0,PLS,0.0245563646370299
0,PLS,0.0254807249054145
0,PLS,0.0347991078454496
0,PLS,0.133309607628201
0,PLS,0.065778750372701
0,PLS,0.0132523908796695
0,PLS,0.0377643842802252
0,PLS,0.0269277576552273
0,PLS,0.032416747321776
0,PLS,0.0660938748832609
0,PLS,0.0502833469075896
0,PLS,0.0113682477142148
0,PLS,0.0307455352129365
0,PLS,0.0248735381059407
0,PLS,0.0192352175792418
0,PLS,0.0652055939485606
0,PLS,0.010841589340371
0,PLS,0.0387530061282109
0,PLS,0.0308036298128043
0,PLS,0.0315056440772945
0,PLS,0.0139099229819734
0,PLS,0.0566577849597673
0,PLS,0.0555845688741191
0,PLS,0.0202059575528932
0,PLS,0.00732578425883891
0,PLS,0.0100216464717503
0,PLS,0.0333527187447704
0,PLS,0.0256750093842398
0,PLS,0.0212488525684222
0,PLS,0.0247878834268798
0,PLS,0.0577028949142181
0,PLS,0.0280148949305997
0,PLS,0.0296434045725928
0,PLS,0.0184225516862554
0,PLS,0.0235156460739609
0,PLS,0.0150045735855732
0,PLS,0.0491083872653927
0,PLS,0.025026978008645
0,PLS,0.0187879973831033
0,PLS,0.0394059245660268
0,PLS,0.00973913609805556
0,PLS,0.0310691470957879
0,PLS,0.00716153323084174
0,PLS,0.0403909340351811
0,PLS,0.0101733705939469
0,PLS,0.0291135047557308
0,PLS,0.0444565565091656
0,PLS,0.0194350565016283
0,PLS,0.0413198327887355
0,PLS,0.0326140242554032
0,PLS,0.033034568162194
0,PLS,0.0293515282957749
0,PLS,0.0573381472199688
0,PLS,0.0115164278553022
0,PLS,0.0321804334250276
0,PLS,0.0184009266771224
0,PLS,0.0302600447939957
0,PLS,0.0536038597713561
0,PLS,0.0515415841328992
0,PLS,0.0175563265983937
0,PLS,0.0400658496006502
0,PLS,0.00634469680390245
0,PLS,0.0263544466916368
0,PLS,0.0244648955831322
0,PLS,0.0542180981334177
0,PLS,0.0186577156644329
0,PLS,0.0555576012886881
0,PLS,0.022157188201987
0,PLS,0.0205831151669661
0,PLS,0.0283695185339556
0,PLS,0.0178641540482508
0,PLS,0.0458229847286301
0,PLS,0.084430119103614
0,PLS,0.0348514821325681
0,PLS,0.00899060155977028
0,PLS,0.0328434452124923
0,PLS,0.0371609240559206
0,PLS,0.0469923666631628
0,PLS,0.0204415293930484
0,PLS,0.0333385249546946
0,PLS,0.0574465957351596
0,PLS,0.0516056340249944
0,PLS,0.0305934658381121
0,PLS,0.0155229338977222
0,PLS,0.0346521959107478
0,PLS,0.0244447359341109
0,PLS,0.0559064610382775
0,PLS,0.0396388602943047
0,PLS,0.0228708931594788
0,PLS,0.0186456640527103
0,PLS,0.0553129156881486
0,PLS,0.0169764731130943
0,PLS,0.0286895162116203
0,PLS,0.066088389295084
0,PLS,0.0243720040169282
0,PLS,0.0273810427640516
0,PLS,0.0491578343892748
0,PLS,0.0267062985495154
0,PLS,0.01163690234041
0,PLS,0.0507158989485248
0,PLS,0.0362344170244922
0,PLS,0.024156289423937
0,PLS,0.0287868827961136
0,PLS,0.0435625723137119
0,PLS,0.024579726623335
0,PLS,0.0188654220517595
0,PLS,0.0164878976834763
0,PLS,0.0295535531934091
0,PLS,0.0495908663309453
0,PLS,0.0469076602796591
0,PLS,0.00620864324434106
0,PLS,0.0225208704980808
0,PLS,0.0161093536774799
0,PLS,0.016235416464448
0,PLS,0.0353320011222296
0,fTS,0.0261329284259701
0,fTS,0.0104791625450752
0,fTS,0.0138010130501504
0,fTS,0.00945349922349112
0,fTS,0.0572519390491369
0,fTS,0.0531984771436702
0,fTS,0.0080455525253442
0,fTS,0.0342730499097821
0,fTS,0.0342906249859573
0,fTS,0.031625088470964
0,fTS,0.0519824113494411
0,fTS,0.0350104881126265
0,fTS,0.0533776824436477
0,fTS,0.056369230855104
0,fTS,0.0239102237202167
0,fTS,0.0211209197841383
0,fTS,0.0104390886673834
0,fTS,0.051852953084563
0,fTS,0.0059227678942246
0,fTS,0.0287624819728838
0,fTS,0.0533566383301411
0,fTS,0.0105718987470294
0,fTS,0.0456655834968044
0,fTS,0.0377930431714842
0,fTS,0.11082656014619
0,fTS,0.0464692076306359
0,fTS,0.00977480853909417
0,fTS,0.0633325115281992
0,fTS,0.0335278196561794
0,fTS,0.0425067657750152
0,fTS,0.0346664774690213
0,fTS,0.0223754479743446
0,fTS,0.0187009510680501
0,fTS,0.041919783604979
0,fTS,0.0757306620357345
0,fTS,0.0498976467174702
0,fTS,0.01016744303622
0,fTS,0.0192890547054675
0,fTS,0.0265936370928649
0,fTS,0.0334412084009825
0,fTS,0.0351995803369128
0,fTS,0.0218138034014556
0,fTS,0.0254977982161071
0,fTS,0.0108512303943538
0,fTS,0.0140288008268615
0,fTS,0.0344926429466578
0,fTS,0.0189284093843327
0,fTS,0.0344894784610543
0,fTS,0.0548946641870279
0,fTS,0.0456565039400767
0,fTS,0.0691912623195801
0,fTS,0.0223265580537861
0,fTS,0.0491383097063775
0,fTS,0.0621792790478286
0,fTS,0.0446768165779977
0,fTS,0.0232381761477218
0,fTS,0.0434135301841913
0,fTS,0.0525533283451073
0,fTS,0.00890679743793038
0,fTS,0.0352495182503592
0,fTS,0.0323483194797737
0,fTS,0.0644540494085279
0,fTS,0.00518246138611978
0,fTS,0.031944156051406
0,fTS,0.033998173219001
0,fTS,0.0403848121532888
0,fTS,0.0309073488369724
0,fTS,0.0304957116153057
0,fTS,0.077413498426641
0,fTS,0.0136615873112186
0,fTS,0.0360487841408015
0,fTS,0.0120384890824064
0,fTS,0.017665906376204
0,fTS,0.0196468683046717
0,fTS,0.0309858917443694
0,fTS,0.0163125777597718
0,fTS,0.0225732182891652
0,fTS,0.0390368384639413
0,fTS,0.0368241113015044
0,fTS,0.041739983218617
0,fTS,0.0544995981371765
0,fTS,0.00738856020005411
0,fTS,0.072913873227119
0,fTS,0.0335225157393277
0,fTS,0.0389402684801394
0,fTS,0.0247599641009437
0,fTS,0.0254807249054145
0,fTS,0.0348196398495252
0,fTS,0.133309607628201
0,fTS,0.0671239891742619
0,fTS,0.0132483809067691
0,fTS,0.038486749733063
0,fTS,0.0269252743054025
0,fTS,0.032416747321776
0,fTS,0.0655864542643287
0,fTS,0.0508053354579426
0,fTS,0.0116905329460973
0,fTS,0.0311421883548645
0,fTS,0.017685722463569
0,fTS,0.0192352175792418
0,fTS,0.0652055939485606
0,fTS,0.0108398217984654
0,fTS,0.0406279119870883
0,fTS,0.0308036298128043
0,fTS,0.0286821947518832
0,fTS,0.0139865000924959
0,fTS,0.0565346671266659
0,fTS,0.0555477418032461
0,fTS,0.020207126291935
0,fTS,0.00686067229638133
0,fTS,0.01000577797219
0,fTS,0.0347974413944378
