,rho,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,0.124180352053461,0.0456157174440886,0.0358795390411618,0.0209790828131233,0.0718479299501837,0.0303686502114373
2,0.1,0.125121485184008,0.0464823086840074,0.030983468580578,0.0179356578696874,0.0721096138455278,0.0330664138023707
3,0.2,0.137929938392183,0.0771858706721071,0.02952445511154,0.0158061892165096,0.0751320233329284,0.0368730795682337
4,0.3,0.131405372747878,0.0529710212081796,0.0337920664332378,0.0213550163518423,0.071647885193643,0.0371314553155173
5,0.4,0.125372585528149,0.0496518911358946,0.031717095728816,0.0184630654087808,0.0741489431416571,0.0410329362403477
6,0.5,0.143799788547333,0.087775224438124,0.0290375751782129,0.0211257388964413,0.0746388631600161,0.0427484831099704
7,0.6,0.135056061618391,0.0909984298282421,0.0316693786566138,0.0208681649966395,0.073435789548849,0.0511921380030481
8,0.7,0.13025893869192,0.0631206872636542,0.0316645856046589,0.0196563982167318,0.0689086052590812,0.0523817698276242
9,0.8,0.139729544995284,0.0693987216504811,0.029645881284534,0.0207591553340947,0.0707421696790517,0.0591215522330934
10,0.9,0.150297284424256,0.0943235879843582,0.0333259855055824,0.0230531981740679,0.074268799037018,0.0630661932659291
