rho,methods,MSEf_value
0,PLS,0.110119323632492
0,PLS,0.0940206788152792
0,PLS,0.11614258826132
0,PLS,0.093806095100938
0,PLS,0.0572221035645706
0,PLS,0.0452996484687172
0,PLS,0.101209369379622
0,PLS,0.150023873214335
0,PLS,0.229487268694775
0,PLS,0.200464371989317
0,PLS,0.174957879411575
0,PLS,0.128019321059238
0,PLS,0.0879008188097461
0,PLS,0.0993320932661542
0,PLS,0.109696672000457
0,PLS,0.150288534598655
0,PLS,0.118980411156654
0,PLS,0.153318580860067
0,PLS,0.0808495729976797
0,PLS,0.113200899372651
0,PLS,0.0914543340336703
0,PLS,0.0807418674895519
0,PLS,0.115300690126751
0,PLS,0.163733010838475
0,PLS,0.163903294674596
0,PLS,0.158433544500422
0,PLS,0.0815067135967964
0,PLS,0.120397716191179
0,PLS,0.195914643696722
0,PLS,0.130820399664326
0,PLS,0.103973546171881
0,PLS,0.103979499059551
0,PLS,0.149268974312115
0,PLS,0.13148067140138
0,PLS,0.16484997884788
0,PLS,0.0802183338849005
0,PLS,0.122932614691827
0,PLS,0.266228826276266
0,PLS,0.094284939582079
0,PLS,0.0744728464855525
0,PLS,0.152498284042916
0,PLS,0.167635075719929
0,PLS,0.194143389268627
0,PLS,0.186926212591907
0,PLS,0.144343767667499
0,PLS,0.128841986521066
0,PLS,0.0850880898850621
0,PLS,0.146251301200255
0,PLS,0.0727365135446916
0,PLS,0.0993888933923658
0,PLS,0.136460581654165
0,PLS,0.0826648035361712
0,PLS,0.118758334957874
0,PLS,0.144562847182652
0,PLS,0.123957541842823
0,PLS,0.158256165340757
0,PLS,0.121139365065104
0,PLS,0.135161809915168
0,PLS,0.163609379331871
0,PLS,0.196663827770229
0,PLS,0.138179957442233
0,PLS,0.0822058702024604
0,PLS,0.139870279065253
0,PLS,0.132015098713367
0,PLS,0.0816188753915261
0,PLS,0.119200291569084
0,PLS,0.0978254124294487
0,PLS,0.0536795669004201
0,PLS,0.0921229751705924
0,PLS,0.0704164782377536
0,PLS,0.115694740140615
0,PLS,0.0922809911485942
0,PLS,0.149765835225196
0,PLS,0.167924971917768
0,PLS,0.126720153835958
0,PLS,0.116785047348451
0,PLS,0.0733112049282742
0,PLS,0.221284360274548
0,PLS,0.138972501784814
0,PLS,0.107282381174869
0,PLS,0.122069404458822
0,PLS,0.0892563220008084
0,PLS,0.147720326277084
0,PLS,0.0791820363782251
0,PLS,0.0779621844049426
0,PLS,0.128508380459256
0,PLS,0.165298096094701
0,PLS,0.111584631078858
0,PLS,0.0868003910996653
0,PLS,0.11767115278462
0,PLS,0.0617759867692225
