,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,0.9996875,1,0.959883720930233,0.124155175722432,0.0457436693528344,0.0394190719307163,0.0217285468990756,0.0725086691799499,0.030509382291017
2,0.1,1,1,1,0.961860465116279,0.124682194793778,0.0462251227842595,0.033600291726057,0.0181116238221116,0.0726138681576616,0.0330048690676412
3,0.2,1,1,1,0.95546511627907,0.134135965040342,0.0763575505127577,0.033122832481303,0.0200578892725373,0.0748026492787996,0.0375105792295081
4,0.3,1,1,1,0.954186046511628,0.124061736914236,0.0523382758011509,0.0317434279222031,0.0198176824867447,0.0694821214383746,0.0367525938328818
5,0.4,1,1,1,0.958255813953488,0.117450945268195,0.066145401449788,0.0266030110408888,0.014202284162581,0.0701763607539043,0.040736816285786
6,0.5,1,1,1,0.953139534883721,0.131681554913989,0.0990549582002522,0.0222998925462326,0.011937692032412,0.0698311098212347,0.0424530385392493
7,0.6,1,1,1,0.960697674418605,0.114707567236396,0.0885803609582256,0.0195806615203652,0.0111063640080966,0.0666055930878423,0.0505981109025649
8,0.7,1,1,1,0.957790697674419,0.101549746267755,0.0581883732494266,0.0166008528774954,0.00983378060416533,0.0608180677988147,0.0512902094905873
9,0.8,1,1,1,0.961860465116279,0.103531572521393,0.0856931833402454,0.010323365588481,0.0059243571294041,0.0599607322948149,0.0562159259158998
10,0.9,1,0.9996875,1,0.959883720930233,0.118645415259739,0.130689411745558,0.00708548527557235,0.00509164877674197,0.0615673143376994,0.0612841305452778
