,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,1,1,0.959651162790698,0.129238559456203,0.0408497524973518,0.0334596094601988,0.0189696315434649,0.0762549708836336,0.0319246551333878
2,0.1,1,1,1,0.95453488372093,0.128394693495957,0.0465196056053534,0.0349571126909735,0.0190661591883982,0.0762641352948196,0.0339163727766505
3,0.2,1,1,1,0.955348837209302,0.127010217947311,0.0531584952683302,0.0334936825768499,0.0174547666074956,0.0763703453467334,0.0283937291795488
4,0.3,1,1,1,0.961744186046512,0.124751835539899,0.04944315914683,0.0305220758098402,0.0181510313362108,0.0708105080812505,0.0315622828474956
5,0.4,1,1,1,0.956162790697674,0.121161505660607,0.0604024640417398,0.0289789482753882,0.0159014455925766,0.0723702291290079,0.0352579092317883
6,0.5,1,1,1,0.960813953488372,0.125220815284061,0.0624656870035036,0.0267655808408886,0.0163721779720668,0.0724638797674265,0.0371267616256932
7,0.6,1,1,1,0.965116279069767,0.123178060180702,0.0630589856822872,0.0236976275108743,0.0144947524820763,0.0699396627429831,0.0425933505958625
8,0.7,1,1,1,0.961395348837209,0.10977323268332,0.0514913261571339,0.0192217829095333,0.0122421022775864,0.068169997906684,0.0459835963412143
9,0.8,1,1,1,0.970581395348837,0.111439399035727,0.0796904498771683,0.0137659217443403,0.00996262137058677,0.0650168469140472,0.048307937228998
10,0.9,1,1,1,0.966976744186047,0.099478108421818,0.0709712680100672,0.00790225290837312,0.00685219592092368,0.0628359952005713,0.0583392907321787
