,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,0.9996875,1,0.960581395348837,0.124274029973427,0.0457308923972719,0.039262162046916,0.0213733480344201,0.0724970642566449,0.0304737760316902
2,0.1,1,1,1,0.962209302325581,0.125105982391507,0.0464823741224668,0.0339595226616289,0.0186580579049473,0.0728494393641519,0.0330362564445798
3,0.2,1,1,1,0.957325581395349,0.137864108463248,0.0772617621322129,0.0349411717368056,0.0215935138450524,0.0760349567978619,0.0374980541871126
4,0.3,1,1,1,0.953139534883721,0.131523669571782,0.0530131948964397,0.038040143464913,0.023025116671866,0.0723704455554535,0.0372241347376048
5,0.4,1,1,1,0.957209302325581,0.125357328303036,0.0498531927197616,0.0347611512631504,0.0201425171534686,0.0747898219407935,0.0411479799864559
6,0.5,1,1,1,0.956395348837209,0.142785200615401,0.0865428896530467,0.033197431520256,0.0215413593285659,0.0753545783178709,0.0428849739253201
7,0.6,1,1,1,0.956511627906977,0.135435099511642,0.091025414590084,0.0347753678132627,0.0235175425319922,0.0741086454000751,0.0512839255378237
8,0.7,1,1,1,0.955697674418605,0.130256560375766,0.0630685902319827,0.0352632537049947,0.021855720232539,0.0695105246464619,0.0521970264711821
9,0.8,1,1,1,0.956046511627907,0.137446046232503,0.0649395384862997,0.0335208583192513,0.0246459710943732,0.0713507821637345,0.0594548149742871
10,0.9,1,1,1,0.95,0.147051302283616,0.088907951391564,0.0378396529785896,0.0294345905827754,0.0748463261701519,0.0630070819766178
