rho,methods,MSEf_value
0,PLS,0.134737613669766
0,PLS,0.113053824922216
0,PLS,0.0745418685928342
0,PLS,0.168212574138453
0,PLS,0.0520377281997676
0,PLS,0.0808123081655083
0,PLS,0.114407643403195
0,PLS,0.0834775672250551
0,PLS,0.141658924838488
0,PLS,0.0828670507004864
0,PLS,0.0573653189994453
0,PLS,0.124223423116165
0,PLS,0.192292679726202
0,PLS,0.069250560861905
0,PLS,0.0816276436572491
0,PLS,0.169801059898259
0,PLS,0.14806615612447
0,PLS,0.0942987902481343
0,PLS,0.122894524929922
0,PLS,0.151099932143817
0,PLS,0.0979912955150875
0,PLS,0.134596153520228
0,PLS,0.176787290097258
0,PLS,0.200891271045155
0,PLS,0.128893962060744
0,PLS,0.120821517477132
0,PLS,0.103539775052909
0,PLS,0.106858908619574
0,PLS,0.0907309719044351
0,PLS,0.164397259458381
0,PLS,0.131966512149452
0,PLS,0.194123374930063
0,PLS,0.126081108882027
0,PLS,0.111246537141836
0,PLS,0.10490365088422
0,PLS,0.149252955639891
0,PLS,0.0881357166153977
0,PLS,0.103691748656642
0,PLS,0.120781195362807
0,PLS,0.242433394403225
0,PLS,0.092771065697385
0,PLS,0.124346199236923
0,PLS,0.217656618819303
0,PLS,0.183552510516614
0,PLS,0.126113552600024
0,PLS,0.133649499145997
0,PLS,0.135087581461627
0,PLS,0.218307246427961
0,PLS,0.148185329994792
0,PLS,0.116872666938781
0,PLS,0.117680520515304
0,PLS,0.0944638881042958
0,PLS,0.150083342962796
0,PLS,0.173780734196213
0,PLS,0.138929681845322
0,PLS,0.115384529676643
0,PLS,0.100645015746408
0,PLS,0.145920657660833
0,PLS,0.110624846649391
0,PLS,0.118394846047433
0,PLS,0.0804828043318907
0,PLS,0.288120912302264
0,PLS,0.131059605927655
0,PLS,0.140053977443493
0,PLS,0.122383831148777
0,PLS,0.0669231124288112
0,PLS,0.104111678292325
0,PLS,0.127436666941152
0,PLS,0.103055133910513
0,PLS,0.103654402148295
0,PLS,0.090252604658974
0,PLS,0.185065407338136
0,PLS,0.142597661838259
0,PLS,0.141441020590119
0,PLS,0.0811117425122624
0,PLS,0.202040028152743
0,PLS,0.138929304463336
0,PLS,0.174322078258122
0,PLS,0.114439866648355
0,PLS,0.121707432801793
0,PLS,0.231519921326937
0,PLS,0.0698716127264368
0,PLS,0.158589728196434
0,PLS,0.163700850825517
0,PLS,0.120336343139641
0,PLS,0.0941373006565586
0,PLS,0.146390686000471
0,PLS,0.0980685253667631
0,PLS,0.0426504442172847
0,PLS,0.138221806357705
0,PLS,0.0945756430131592
0,PLS,0.108558289343846
0,PLS,0.0553923869609586
0,PLS,0.131779538505333
0,PLS,0.124147553119745
0,PLS,0.165659704225205
0,PLS,0.163138885652326
0,PLS,0.0968597389918149
0,PLS,0.0689332399255758
0,PLS,0.171314953196103
0,PLS,0.118816213962145
0,PLS,0.191729678999014
0,PLS,0.139078487709076
0,PLS,0.127328845960306
0,PLS,0.159984379367665
0,PLS,0.140944757332625
0,PLS,0.141900235348816
0,PLS,0.0989021991933375
0,PLS,0.0696250655718363
0,PLS,0.0989088657600207
0,PLS,0.114349937296482
0,PLS,0.0965869393900273
0,PLS,0.151856873249102
0,PLS,0.123045172485104
0,PLS,0.113024996130695
0,PLS,0.100537074925659
0,PLS,0.103993156450735
0,PLS,0.113163337628162
0,PLS,0.251164890184178
0,PLS,0.0828297444038711
0,PLS,0.114860890752621
0,PLS,0.0737432765772656
0,PLS,0.15111225435664
0,PLS,0.0890584898252401
0,PLS,0.0920442956461422
0,PLS,0.183012560341498
