,rho,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,0.12935097695673,0.040892376685171,0.0305006067126239,0.0174827399240757,0.0756641946800111,0.031998000627074
2,0.1,0.128519312043779,0.0465321546905955,0.0308711760908313,0.0183442883699956,0.0756540124657559,0.0339378967386458
3,0.2,0.127880583413222,0.0532718407417048,0.0311206362832431,0.0180663507142293,0.0761496810042404,0.0284739043209743
4,0.3,0.128588969690602,0.0566795672156015,0.031375841078957,0.0189542602631345,0.0715519918363706,0.0318624726166526
5,0.4,0.125869136138901,0.0630805439876668,0.0323010068901578,0.0189189890457796,0.0742808548157584,0.0355768100653781
6,0.5,0.132044364369596,0.0573840004903823,0.0314545725118457,0.0194645240160116,0.0754951137968326,0.0377003037374614
7,0.6,0.137683624193904,0.0672645065602405,0.0330225607140458,0.0211955140390242,0.0743464034457144,0.0442638931505692
8,0.7,0.128671933823169,0.0605417610568662,0.0317621929600499,0.0200566965087259,0.0742247903623299,0.0455655523952836
9,0.8,0.133563408781347,0.0865308569160138,0.0330393181930243,0.0211390814407235,0.0724665850424568,0.0485988258212712
10,0.9,0.135750982373831,0.0825784952062761,0.03249999636462,0.0261888934872694,0.0750961823529407,0.0604014738272349
